protocol_id,elem_id,segmentation,comments,text
prot-1914-b-fk--52,i-1MGvcjhyHwtLNdWDRxyaT,margin,,och omyndigs kommunala
prot-1914-b-fk--15,i-1bjyntMp1P53KS6CzLqNp,margin,,Interpellation ang. nykterhetslagstiftning. (Forts.)
prot-1914-a-ak--23,i-13xAcsz753ksXg9TvC1jQ,note,,vid kontoret i Visby
prot-1914-b-ak--59,i-172pbh4t3c85gdhhph934,u,inledning till omröstning,"Den, det ej vill, röstar Nej"
prot-1915--fk--61,i-1NVZ3VpgKGTe3tf3zZ4Lg,margin,Protokollsnummer,Nr 61
prot-1915--fk--1,i-1Xux19ajWXpBv8dmGp2cC,note,,Förteckning å de ledamöter av Riksdagens Första kammare för vilka fullmakter granskats inför chefen för justitiedepartementet den 13 januari 1915.
prot-1915--ak--58,i-13aSnhp9PBAQeKXseBEb6,u,,"Den kommittè, som behandlade nämnda ärende, upptog ävenledes till granskning ett projekt om en snabbroute mellan Göteborg och Immingham (Hull). Emellertid ansågs, att staten ej gärna med subsidier kunde stödja det engelska Wilsonbolaget, vilket som bekant haft ett mångårigt och mycket inkomstbringande monopol på trafiken mellan Göteborg och Hull. Saken ligger emellertid annorlunda nu. Wilsonlinjen har på grund av kriget indragit sina båtar på Göteborg, och förbindelsen skötes nu genom svenska ångfartyg, som även medföra post till Ryssland. Jag kan icke tänka mig, att denna linje Göteborg- Hull eller Göteborg-Immingham, som är den genaste och naturligaste förbindelsen mellan Sverige och Storbritannien och som leder rakt in i Englands förnämsta merkantila och industriella centra, Liverpool, Manchester, Scheffield, Birmingham m. fl. betydande platser, skall återgå till sitt förutvarande skick. Här bör en svensk snabbroute tillsammans med en engelsk dylik efter kriget träda 1 verksamhet. Det må framhållas, att routen Petersburg-Reval-Stockholm-Göteborg-Immingham utgör en så nära som möjligt rät linje och att om en förstklassig kommunikationsled här upprättas, en sådan i snabbhet och bekvämlighet kommer att bli vida överlägsen routen Petersburg-Stockholm-Kristiania -Bergen-Newcastle. Emellertid bör man ihågkomma, att routen Bergen-Newcastle har fem förstklassiga förbindelser i veckan, varför från vår sida åtgärder böra vidtagas för att åtminstone få förbindelser varannan dag till stånd över Göteborg- Hull eller Immingham."
prot-1915--ak--74,i-167nYpqL6MM1kNf11pPax,margin,,Tisdagen den 11 maj. 15 Nr 74.
prot-1915--ak--85,i-18c5NdHHunbTvdRbMRc1e,u,,Vad som därnäst mest tilltalar mig äro de vid bevillningsutskottets betänkande fogade författningsförslag men utan sammankoppling med bestämmelserna om kommunal folkomröstning.
prot-1916--fk--56,i-13Qqf1FjCd2aBpMtFNzxL,margin,,Ifrågasatt tillägg till 12 $ i bevillningsförordningen. (Forts.)
prot-1916--fk--52,i-15VnHPTdFjfYWejM4SUA9,u,,"Vidare har man dragit fram såsom en betänklighet mot att följa reservanterna, att vissa enklare vägar i Norrland - Â»vägar av enklare beskaffenhet> - som icke byggas ens till 3,6 meters bredd, skulle komma att uteslutas från automobiltrafik, om man följer reservanternas förslag och alltså låter bestämmelserna i den nuvarande förordningen stå kvar. Häremot behöver man endast erinra, att i vilketdera fallet som helst icke alla vägar ovillkorligen skola uteslutas eller upplåtas för automobiltrafik vare sig man bestämt vägens bredd till att överstiga eller till att minst uppnå 3,6 meter och att särskilt i Norrland stora sträckor av vägar, som icke hava större bredd än 3 meter, redan äro upplåtna för automobiltrafik."
prot-1916--fk--81,i-19pUzJQsb4bV4PJuGVeak,u,,"deles för litet för att komma ifråga - när alla större projekt, som framfördes vid undersökningen visade sig icke vara hållbara, fanns"
prot-1916--ak--54,i-13RmQFd6ERYUPoCwU9jwP,note,,"I anslutning till vad herr Öberg m. fl. föreslagit uti en inom andra kammaren väckt och till jordbruksutskottet hänvisad motion, nr 111, hemställde utskottet, att riksdagen måtte i skrivelse till Kungl. Maj:t anhålla, att Kungl. Maj:t ville utreda, huruvida och på vad sätt utbildningskurser borde anordnas för kvinnliga ladugårdsskötare i Norrland och Dalarna samt för riksdagen framlägga det förslag, vartill en sådan utredning kunde föranleda."
prot-1916--ak--71,i-13fK3LuHvEw8ifKiAB6jS,u,,"taljer, utan endast i de verkligt betydelsefulla frågorna. Ett så-"
prot-1916--ak--67,i-171FcPUThuhTZW7L36UZt,unknown,Vad är det? Ocr-fel?,Â» >Â» Â»
prot-1917--fk--46,i-1CDi8mVg6rc9FYvazC7r5,margin,,(Forts.)
prot-1917--fk--60,i-1McdnPGHe4W1QEFZqtt7K,note,siffror i tabell,"- | - 10000 5,000] - 2,500| 600) -8,100 15,000| - 7,500) 1,800] 24,300"
prot-1917--fk--39,i-1MySE2Rh1ftxUERyAJRvq,u,,"Jag vill sluta med att säga, att det ligger i högerns händer att åstadkomma en sådan utväg, att frågan lyftes över partierna, ty icke är det vi, som giort den till en partifråga, utan det är högern. Jag hemställer om bifall till yrkandet om återremiss."
prot-1917--ak--35,i-12oBTyB8Grh5GUEZMZofM,margin,,Fredagen den 23 mars. 5 Nr 85.
prot-1917--ak--52,i-1331no2itw5bCUGCDvTzj,note,,b) att ifrågavarande motioner icke måtte till någon riksdagens åtgärd föranleda.
prot-1917--ak--41,i-1BGSaRLU1CrrjzFrHmFge,u,,"Jag tror, att när man utgår från den synen på tingen, så måste man säga, att det i egentlig mening frätande och förstörande för dem, som vilja bevara människorna själva såsom samhällets största värde, ligger i penningens makt, som herrarna vilja befästa. Kännen ni icke något av skamkänsla - ja, rent ut sagt skamkänsla! - över att förhållandet skall vara sådant, att om fattiga barnaföderskors män för att kunna klara sig för tillfället, måste låta kommunen träda emellan, då komma de att förlora sin politiska rösträtt, därför att herrarna hålla på det. Borde icke en skamkänsla krypa över er alla, när så är, att världen befinner sig i nödläge och dyrtid och dessa medborgare dock icke få genom sin röstning deltaga i samhällets politiska liv? När det gäller rent sedliga värden, bekämpande av sprit, brännvin och alkohol, är man så mån om att bevara penningens makt, att man i själva verket icke vill gå med på det lokala vetot, och detta med det öppna motivet, att det skulle betyda att skjuta en bresch i den 40-gradiga skalan. Det innebär ett förstörande av sedliga värden bara för att penningen fortfarande skall prägla vårt politiska liv. Ã„r detta konservatism? Nej, och detta blottar en djupgående förändring i högerpartiets struktur. Den gamla konservatismen, som tt. ex. framträdde inom ämbetsmannavärlden förr i tiden, som åtskilliga minnas och som vi aktade högt, hade dock den förtjänsten, att den ville bevara något av traditionen, av känslan för det hävdvunna. Men nu vill man något helt annat. Här har trängt igenom i den nutida högern något, som är en reflex, ett utslag av hela sambhällets liv, men som det är av vikt för alla, som vilja skydda samhällets högsta värden, att på det allra bestämdaste reagera mot."
prot-1918--fk--48,i-11vtGjSVGzGGhtbXbAhUS,margin,Protokollsnummer,Nr 458.
prot-1918--fk--2,i-181pppg6oahpC4mSntva6,note,,"nr 23, av herr Wickman, angående årligt understöd åt renskriverskan Alfhild Maria Westring"
prot-1918--fk--50,i-1CJUYcRASaPgMRAGnepL3,margin,,Om tilläggsbidrag till
prot-1918--ak--31,i-16KzAvt6Giyg1oP2d8XDX,title,Ska vara paragraf § ,& 19.
prot-1918--ak--18,i-173wQYaWLbuDGpmj2EQqu,intro,,"Herr Månsson i Hagaström, som anförde:"
prot-1918--ak--66,i-1Ap4F4eiiSUKH1VqT1Zxm,u,,"åtskilligt hårt det där. Och sedan han tjänstgjort denna långa tid,"
prot-1919--fk--16,i-14bBnmjnz5EUTreZw5KX4,u,,Utskottet yttrar följande: Â»Såsom av det föregående fram-
prot-1919--fk--53,i-14s6CBv7qVph8HY2ucaRg,note,,"I övrigt, och som - - - - stadgat är."
prot-1919--fk--22,i-18BmBNDpgxjDGocDa9u5S,margin,Protokollsnummer,"Nr 22,"
prot-1919--ak--9,i-11fD83BaQiqpb7X6Qepog,margin,Protokollsnummer,Nr 9
prot-1919--ak--31,i-14JHsWegf7pnfZ6dy1uQ1,note,,"nr 15, i anledning av Kungl. Maj:ts proposition med förslag till lag om fondkommissionsrörelse och fondbörsverksamhet samt till lag om ändring i lagen den 22 juni 1911 om bankrörelse ävensom en i ämnet väckt motion"
prot-1920--fk--11,i-11igi9f4TwwMk8WEQ4c8B,margin,Protokollsnummer,Nr 11.
prot-1920--fk--9,i-13TKXWiDph7T39X5HcJNp,margin,,färsk fisk till
prot-1920--fk--21,i-16tAv2KG71VwR1d4umUiU,u,,"Bemödandena fortsattes därför att framkalla ett påbyggande av lagen eller andra åtgärder för skogsvårdens främjande. Andra kammaren uttalade sig därvid ibland för dylika angelägenheter. Sålunda biföll kammaren exempelvis åren 1903, 1907 och 1908 förslag, att ägare av skogar av mera betydande omfattning måtte åläggas att å dem införa uthålligt skogsbruk."
prot-1920--ak--30,i-11HsB3aX4b1QQkddEJhKT,margin,,(Forts.)
prot-1920--ak--7,i-11UPVzM6zW76rprcxpncT,title,,Onsdagen den 21 januari. KI. 11 f. m.
prot-1920--ak--8,i-112SPsVtui3JnK3Z5EyBNC,note,,"nr 133, av herr Brännström m. fl."
prot-1921--fk--42,i-13R7NgE47mmdSwEnwepcd,margin,,tralfängelserna å Långholmen och Härlanda. (Forts.)
prot-1921--fk--44,i-16ddLuLzXTQiEFv2jNMwn,margin,,Lagförslag om arbetstidens begränsning.
prot-1921--ak--17,i-11mTZEwJhRnUs9GEGA2HW,note,,dels ock förslag till lag om rätt i vissa fall för polismyndighet att omhändertaga djur.
prot-1921--ak--57,i-16b9biE9f5VXD5Ec4Bn93,u,,"Herr talman! Washingtonkonferensen torde snart inte ha annat än historiskt intresse. Man kan ha vilken uppfattning man vill om en internationell reglering av arbetstiden, men i och med det förhålladet, att Förenta staterna inte från början ansågo sig kunna deltaga i det sammanträde, varvid denna konvention skrevs, var nog saken den gången fallen. Lika litet, som Förenta staterna ville avrusta, då det gällde krigsberedskapen, lika litet ville man avrusta, då det gällde den ekonomiska krigsberedskapen."
prot-1921--ak--15,i-16kpa4mgfSN8FayJCtb2g,u,,"För övrigt vill jag erinra om - jag antydde det i mitt förra anförande - att det var en huvudlös riksdag på sin tid, år 1910, som tillät den ohöljda Â»förryckningshistoriaÂ», som antagandet av vår nuvarande tulltaxa innebar för Sveriges industri. Nu ha i viss mån de aktieägare och fabrikanter och arbetare rätt, som säga: veta herrarna icke, vad ni vilja? Skola ni en gång votera tullar och sedan vägra att gå på och fortsätta att göra dessa högre undan för undan? Det borde ni ju känna till, att den ena tullförhöjningen drager den andra med sig. Med varje tullförhöjning följa ju även nya fabriker, med varje ny fabrik följer konkurrens, ännu större konkurrens än förut på inlandets marknader, hjälplösheten blir ännu hopplösare och krascherna komma allt närmare och oundgängligare. Och när icke mera några tullförhöjningar hjälpa, då kraschar det hela, knall och fall. Den utvecklingsgången är ohjälplig och ofrånkomlig i alla de länder, som gett sig in på en politik med höga tullar. Ni skola få se, att det kommer att gå den vägen även här, inom inte alltför lång tidrymd. Om tjugu eller trettio år få edra barn en gång vända upp ur plurret, när gyttjan går dem till munnen - nu går den oss till"
prot-1922--fk--10,i-13UwVru3SkAq13dDhiAoA,note,,"Föredrogs och hänvisades till konstitutionsutskottet den av herr Hallin m. fl. väckta motionen, nr 105, angående eventuellt ändrade tidsbestämmelser m. m. för statsrevisionen."
prot-1922--fk--20,i-19uwdGt3r5eaWwinBf1WR,margin,,(Forts.)
prot-1922--fk--1,i-1AJxBqFwtWLLMpr8T8cHn,note,,I övrigt blevo de granskade fullmakterna lämnade utan anmärkning.
prot-1922--ak--35,i-11KCnRHAv2NzEYmYqKReJ,u,,"Det är sålunda under inga förhållanden för att förringa skolans uppgift, som jag tagit till orda, icke heller för att lägga skulden för de överklagade förhållandena på enskild man eller på inspektörerna. Det finnes inspektörer, som fara fram på ett oklokt sätt, och det finnes kloka och förståndiga sådana, liksom detsamma kan sägas om skolråd och församlingar. I denna dechargedebatt - ty det artar den sig att bli genom förutvarande statsrådets yttrande, då han begagnade detta tillfälle att söka fria sig från uttalanden, som, såvitt jag vet, icke förekommit 1 denna kammare, och det må vara honom väl unnat - skall jag be att få svara på hans fråga, hans uttryckliga fråga, som han icke fått svar på. Ã„ven utskottets ärade ordförande framställde densamma: varför påtalade icke 1919 års riksdag i dechargebetänkandet denna sak, och varför skulle det dröja åratal, innan invändningarna kommo mot skollagstiftningen? Jag skall giva utskottets ärade ordförande rätt uti, att det är alldeles avgjort så, att det var uppsatsen i Stadsförbundets tidskrift av doktor Grönvall, vilken väckte mycket stor uppmärksamhet, som 1 viss mån gav ett uppslag till tankarna i detta avseende, och mot vederhäftigheten av denna framställning har, såvitt jag vet, icke några berättigade invändningar kunnat göras. Men det finnes också"
prot-1922--ak--45,i-1127GizzVTmF4C7QHhom78,u,,"han icke vill, att folket och riksdagen skola ha med de ekonomiska 4n9. ändring"
prot-1922--ak--36,i-15b8bs8bwhpWYHpefVSGJ,u,,"Herr talman, mina herrar! Den sky av vittnen, som vi sett uppträda kring den siste ärade talarens anförande, kunde ju kanske vara ägnad att göra en något betänksam, när det gäller att ge uttryck åt en uppfattning, som rör sig efter helt andra linjer."
prot-1923--fk--28,i-11pucYe3T3V8R4w8uvZU2,u,,Herr greve och talman! Jag har endast att framställa yrkande om bifall till utskottets hemställan.
prot-1923--fk--14,i-112AvsKQgK8JZjMZjrdFvS,note,inledning till omröstning,"Den, som godkänner 1 $ i det av första lagutskottet i utlåtande nr 6 tillstyrkta lagförslaget, röstar"
prot-1923--fk--25,i-198ZcxaEi58W5aQxhTBi1,margin,Protokollsnummer,Nr 25.
prot-1923--ak--37,i-138kSp8fQsGQ9u9DMQGid,note,,"Utskottet hemställde, att riksdagen måtte, med bifall till före-"
prot-1923--ak--16,i-14Co1usLSNhUT3qDXnMJv,margin,Protokollsnummer,Nr 16.
prot-1923--ak--38,i-19DXcsF3gFX2CPoNbTTeh,margin,,"Fredagen ' den 18 maj, f. in. 73 Nr 388,"
prot-1924--fk--36,i-18fmBP5xJAfUpNw9QusKf,margin,,Ang lönetillä
prot-1924--fk--36,i-1D6VLHk6bQzZvNbriBrY4,margin,,Ang. ändring i förordningen om automobil-
prot-1924--fk--13,i-1EQGJDa3HsV7LL3hJQ8s1,note,,"När kärl, som innehåller maltdryck, är försett med etikett, skall klassbeteckningen vara på tydligt framträdande sätt anbragt före den övriga texten å etiketten."
prot-1924--ak--45,i-12wLJjZXNJAwewpTxp4S7,note,,"nr 1i B, angående regleringen för budgetåret 1924-1925 av utgifterna under riksstatens elfte huvudtitel, innefattande anslagen till pensionsoch indragningsstaterna"
prot-1924--ak--43,i-15aEUfbJiMgpzffwDftBT,intro,,Herr Lindkvist i Halmstad:
prot-1925--fk--16,i-112ZJUvw6bQQ5dMzL3jaTK,margin,Protokollsnummer,Nr 16.
prot-1925--fk--19,i-1LuBTfGDhCvyFnanv5hRJ,note,,"Föredrogs ånyo och företogs punktvis till avgörande statsutskottets utlåtande nr 8, angående regleringen'för budgetåret 1925-1926 av utgifterna under riksstatens åttonde huvudtitel, innefattande anslagen till ecklesiastikdepartementet."
prot-1925--fk--7,i-1U9xYqhjnseihfoYLrueK,note,,"dels ock till riksdagens förordnande, nr 15, för revisionssekreteraren m. m. E. G. Geijer att vara riksdagens justitieombudsman."
prot-1925--ak--41,i-112LXEgEsror1naQarzqR4,note,,"i Stockholms, Malmöhus samt Göteborgs och Bohus län.......... 3,500 kronor 1 Gotlands län......sseossesrseereererserrrrrsr sr rss esse s rss sea 1,500 =Â» 1 ÖVIIgA läDsssseeeseeerereeeeseerere ere ere rr rr r rer sr sr rese es ss sa 2,500 Â»"
prot-1925--ak--42,i-1CV1iC2X9J93cojSRFwwt,u,,"Hyste utskottet den uppfattningen att polisverksamheten bleve mycket bättre genom inrättande av stora distrikt, så skulle jag kunna förstå utskottets mening med den stora skillnaden i statsbidragens storlek, men om herrarna granska utskottsutlåtandet, sidan 7, sista stycket, så heter det där: Â»I ett synnerligen stort antal fall torde på den egentliga landsbygden, där polisverksamheten väsentligen måste bestå av indrivningsarbete, denna polisverksamhet bättre och billigare kunna ombesörjas av befattningshavare av de nuvarande fjärdingsmännens typ, vilka hava befattningen såsom en bisyssla vid sidan av annan verksamhet. De stora tjänstgöringsområden, som ett genomförande av förslaget skulle medföra, skulle också sannolikt draga med sig olägenheter i olika avseenden.Â»"
prot-1925--ak--37,i-1DTgixu1uQJtZmTd7mrCZ,margin,,Fredagen den 22 maj. 25
prot-1926--fk--9,i-118hwi34mz4GPhFDs9XFp,margin,Protokollsnummer,Nr 9.
prot-1926--fk--3,i-17Tn9jAj5nFLbBAcCzT81,margin,Protokollsnummer,Nr 8.
prot-1926--fk--35,i-19eMHxXwwvuBsfmTAY8wJ,margin,,av postsparbankens inlåningsrätt.
prot-1926--ak--42,i-14MBLrrdniV6DiQyf8K5Y,note,,"Ã„r 1926 den 27 maj sammanträdde kamrarnas valmän för att jämlikt $$ 71 och 73 riksdagsordningen utse dels fullmäktige i riksgäldskontoret efter greve J. G. Lagerbjelke och herr H. M. Bäckström, vilka voro i tur att avgå, dels ock suppleanter för fullmäktige i nämnda kontor"
prot-1926--ak--24,i-17s4ZQYB51aJYXEyxC89n,u,,"Det har gjorts ett stort nummer av en felaktig uppgift i min motion, där det står talat om en tjänsteman i en mycket hög ställning, vilkens hustru enligt min uppgift åtnjutit tjänstledighet under 471 dagar på fem år, men som allenast haft ledighet under 297 dagar. Anmärkningen är riktig, och jag beklagar att denna felaktighet kommit in i min motion. Vederbörande, i detta fall hennes man, har upplyst mig om, att siffrorna i så måtto voro felaktiga från postdirektionen, som lämnat dem, att den tagit upp siffrorna för fem år, d. v. s."
prot-1926--ak--28,i-18RGGFNK9af315HaqZ5GP,note,Beslut,"Vidare yttrades ej. Kammaren biföll utskottets hemställan,"
prot-1927--fk--15,i-11246JswyCD5Muc18ySf43,margin,Protokollsnummer,Nr 15.
prot-1927--fk--38,i-112UgURAzPBD33PaNxUE3U,margin,,32 Tisdagen den 31 maj f. m.
prot-1927--fk--3,i-15FSrUoMufVb3QJT9cD57,u,,man icke i förväg kan beräkna men som naturligtvis i varje framlagd budget
prot-1927--ak--33,i-112Myxr2TEoc7h22go4ci6,u,,"Herr andre vice talman, mina damer och herrar! Då man följt behandlingen av den kungl. propositionen i skolfrågan, har man ej kunnat undgå att märka en påtaglig iver att till varje pris få denna fråga med dess många och komplicerade spörsmål löst redan i år. Varpå denna brådska beror, har man svårt att fatta, men kanske är det ej meningen, att vanliga dödliga sköla fatta orsaken därtill. Ecklesiastikministern tycks i varje fall ej vara orsak till denna brådska, ty han förklarade vid ett offentligt möte, att han ej skulle bli förvånad, om en så svår fråga ej utan vidare"
prot-1927--ak--15,i-14JTnSTH2JdVfDsJoYqCe,margin,,Ang. ordensväsendets avskaffande.
prot-1927--ak--29,i-15rH13vNfhsgX1phy8LUB,note,,"b) då aktie, lott, andelsbevis eller delaktighetsbevis utan mellangift utbytes mot annan eller andra aktier, lotter, andelsbevis eller delaktighetsbevis i samma bolag och till enahanda eller lägre belopp"
prot-1928--fk--37,i-1Jx3SWrZRuS2pqi25pGEG,u,,en psykiatrisk klinik i Lund.
prot-1928--ak--34,i-152Tp6ZubHrikotqYe1qC,note,,"av herrar Kvarnegelius, Carl Johansson och Pauli, vilka ansett, att utskottets yttrande beträffande frågan om ökning av musikpersonalen vid Skånska kavalleriregementet bort hava följande lydelse:"
prot-1928--ak--19,i-19LhazncCpcyX6wRVJ1H6,u,,"Således, utsikten att företaget verkligen en gång skall bli till ekonomiskt gagn för oss är lika med noll. Då ligger det hela så: Ã„r det så nedsättande för oss att definitivt förklara, att vi draga oss tillbaka från denna historia? Jag kan förstå, att för många kan en dylik reträtt kännas ytterst förödmjukande. Men även i andra kristidsföretag har man fått göra stora reträtter. Vi behöva blott se på kreditkassan och vad den kostar."
prot-1928--ak--33,i-1Ao8bKMHvrFfQyfx5ct4b,margin,,28 Onsdagen den 9 maj.
prot-1929--fk--29,i-165ohrVikEfHt4iEw1Frg,u,,"Den första fråga, som reser sig vid behandlingen av dessa motioner, är, om det verkligen kan anses föreligga ett behov av en omorganisation av riksdagsarbetet. I det hänseendet tillåter jag mig framhålla, att utskottet för sin del vitsordat ett sådant behov. Utskottet säger, att det inom riksdagen torde råda en bestämd mening, att i vissa hänseenden riksdagsarbetet behöver omorganiseras. Jag tror också man kan säga, att erfarenheten vitsordat behovet av en omorganisation av riksdagsarbetet. Vi kunna ta ett exempel på detta just ifrån innevarande riksdag, ett exempel, som för kammarens ledamöter torde ådagalägga, hur verkligt behövligt det är, att någonting göres för att få ett bättre arbetssätt."
prot-1929--fk--13,i-19i28cwXeuBAXUuaFSoAz,u,,"Herr Dahl påpekade ett par saker angående avskrivningarna i spritcentralen. Jag har också observerat, att förfarandet där hade gått något krokiga vägar. Emellertid kunde jag icke finna av vad monopolutredningen påpekat i den frågan, att det var någon oredlighet med i spelet eller att något blivit tövat från staten."
prot-1929--fk--30,i-1KTmRseBSyckFvzpJU45N,u,,"beträffande undervisningen 1 detta ämne, att det inte gick över barnens fattningsförmåga och ej kränkte andra människors övertygelse än deras, som t. ex. tillhöra en viss kyrklig riktning."
prot-1929--ak--35,i-13nr3APkUo3sT3f36w8Wp,u,,"Det är bara dessa påpekanden jag har velat göra nu och jag hoppas, att jag icke mera behöver återkomma vid detta tillfälle, i synnerhet som motionären icke har ansett sig i sakens nuvarande läge kunna framställa något yrkande. Det skulle eljest finnas åtskilligt mer att säga i denna debatt, men jag tycker icke det gagnar saken i nuvarande läge."
prot-1929--ak--36,i-16tQktSdBb7V9y8CUQnUj,unknown,"Ingen länk till KB-lab, för litet uttag för att veta vad det är",Ja
prot-1929--ak--5,i-1BrfBfjorDJjoVfLF8TFZ,note,,"herr Andersson i Falkenberg, nr 136, om avslag å Kungl. Maj:ts förslag om indragning av Falkenbergs sjömanshus"
