,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,protocol_id,x,elem_id,text,segmentation,speaker,comments,facs,github,checked
29,29,29,29,prot-1900--ak--31,14,i-MKSM6F7gP8C9dSXetHmj8f,14 Onsdagen den,note,,margin,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1194,True
30,30,30,30,prot-1900--ak--31,14,i-KzEVZ8rqABwfzHc1inC673,"ökade, för nu a",u,Q5741552,,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1197,True
31,31,31,31,prot-1900--ak--31,14,i-K9gN8qawQ8cmXTL1EnM1jM,Vidare säger Ri,u,Q5741552,,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1205,True
32,32,32,32,prot-1900--ak--31,14,i-9gokhADtoDQjc4eFkK7hwE,"1894, att »när ",u,Q5741552,,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1227,True
33,33,33,33,prot-1900--ak--31,14,i-UG5NpsVc52oPzzcFXBh1T1,ett nytt birord,u,Q5741552,,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1231,True
34,34,34,34,prot-1900--ak--31,14,i-Wf3q51b7pNqezLvbcmwFry,Hittills har ic,u,Q5741552,,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1247,True
35,35,35,35,prot-1900--ak--31,14,i-MBkchZirKRvNuMJY2J9JvT,"Och för öfrigt,",u,Q5741552,,https://betalab.kb.se/prot-1900--ak--31/prot_1900__ak__31-013.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1900/prot-1900--ak--31.xml#L1254,True
36,36,36,36,prot-1901--ak--15,4,i-RAPcicy96pyyXbx8b9JG9o,N:o 15. Angåend,note,,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L260,True
37,37,37,37,prot-1901--ak--15,4,i-5zjao544pDCxVqFjMRtVZi,4 Onsdagen den ,note,,margin,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L263,True
38,38,38,38,prot-1901--ak--15,4,i-RPd8Dx3hGebtXiSzE2XeUG,en snar och lyc,u,Q6161282,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L267,True
39,39,39,39,prot-1901--ak--15,4,i-B2bQ8pEYau2YbseyV4zEQd,ny lärobok för ,note,,margin,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L272,True
40,40,40,40,prot-1901--ak--15,4,i-DLPr1VSgoGizzEAR9yCfQA,den. första und,note,,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L276,True
41,41,41,41,prot-1901--ak--15,4,i-Lem9Pia9fU6pArGVjn2roN,kristendom. (Fo,note,,margin,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L280,True
42,42,42,42,prot-1901--ak--15,4,i-DdPtVbgtjy8Nv8uBmfVDg7,Herr von Schéel,note,,intro,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L283,True
43,43,43,43,prot-1901--ak--15,4,i-6Z2fgRnVanup4mZRhnZ6eQ,"Jag skulle, her",u,Q6096701,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L287,True
44,44,44,44,prot-1901--ak--15,4,i-XCV9VaaFanWstiAeo9rvko,"Sant är, att de",u,Q6096701,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L297,True
45,45,45,45,prot-1901--ak--15,4,i-F8QYuzjNLN5hxHKypfuvju,Först och främs,u,Q6096701,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L310,True
46,46,46,46,prot-1901--ak--15,4,i-DzECfLkKTqxoTcKSAqwM2L,' Vidare angaf ,u,Q6096701,,https://betalab.kb.se/prot-1901--ak--15/prot_1901__ak__15-003.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--ak--15.xml#L331,True
47,47,47,47,prot-1901--fk--32,38,i-J1SdB1KEvSgERtCfjTMwJN,N:o 32.,note,,margin,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L2961,True
48,48,48,48,prot-1901--fk--32,38,i-J8qMBzYhPk96LX3ApHLE4,Om lagstiftning,note,,margin,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L2964,True
49,49,49,49,prot-1901--fk--32,38,i-5jguFj8hWzuEvDqPNGoq77,(Forts.),note,,margin,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L2968,True
50,50,50,50,prot-1901--fk--32,38,i-F9xgQL8wqFayo7XjcrrqLd,38 Lördagen den,note,,margin,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L2971,True
51,51,51,51,prot-1901--fk--32,38,i-U7mWLEMWCP49nqarm6iPAe,vid utläggandet,u,,"I'm not sure abou the speaker - it's tagged as Axel Asker, but If I go back in the protocols, the previous introduction I see is Herr Sandquist. Part of one of the protocols was missing when it loaded, and there are some other interesting formatting between the page and -027 where I found Sandquist's name.",https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L2975,True
52,52,52,52,prot-1901--fk--32,38,i-HuzmeVeKG7UTgUN4vb1zmf,I närmaste samb,u,,same issue with the speaker as in the previous paragraph.,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L2986,True
53,53,53,53,prot-1901--fk--32,38,i-F9mtztnpEbzU6iF4QaKf9N,På grund af all,u,,same issue with speaker as above...,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L3007,True
54,54,54,54,prot-1901--fk--32,38,i-JsTTCDT4bdmFoowk8EZJNQ,Alla skäl tala ,u,,speaker issue ^^^,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L3025,True
55,55,55,55,prot-1901--fk--32,38,i-Va5wBMt5BPw5tFn5AhiWN9,"Herr Andersson,",note,,intro,https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L3032,True
56,56,56,56,prot-1901--fk--32,38,i-NTgCQjxsSFAvNhp5suKQ1n,"Då jag, ehuru f",u,,"There are several Herr Anderssons in the metadata, but none with the right middle name or w/out middle name at the right time.",https://betalab.kb.se/prot-1901--fk--32/prot_1901__fk__32-037.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--32.xml#L3036,True
57,57,57,57,prot-1901--fk--34,2,i-2NXswMHGNqVHKSKt9TFKwc,N:o 34.,note,,margin,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L117,True
58,58,58,58,prot-1901--fk--34,2,i-9fbdbZzomkBRYRY8vC5NMm,2 Tisdagen den ,note,,margin,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L120,True
59,59,59,59,prot-1901--fk--34,2,i-V1ZXrvsqVUQnmpkdEoXfHa,samt anmodas lå,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L123,True
60,60,60,60,prot-1901--fk--34,2,i-W7hodJKsCL5BZWASCBTJ2j,Anmäldes och bo,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L128,True
61,61,61,61,prot-1901--fk--34,2,i-5D6ZHYSnh8NP4tjhBfhxN5,konstitutionsut,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L131,True
62,62,62,62,prot-1901--fk--34,2,i-DNFM8LVbrnYnJ8sfpswwnZ,bankoutskottets,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L135,True
63,63,63,63,prot-1901--fk--34,2,i-UUduGoaSiDpugX7NYZfz4o,första särskild,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L139,True
64,64,64,64,prot-1901--fk--34,2,i-zCc3wPaMipa2uShNCy6yZ,Första Kammaren,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L145,True
65,65,65,65,prot-1901--fk--34,2,i-TXT7ohVB9aNbNnJEUaAqRU,"Föredrogos, men",note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L150,True
66,66,66,66,prot-1901--fk--34,2,i-3NqNnmr67j3qbvfurStwZK,Justerades ett ,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L154,True
67,67,67,67,prot-1901--fk--34,2,i-XfhFzFgbpQtC7NzLbm3hrr,Ledighet från r,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L157,True
68,68,68,68,prot-1901--fk--34,2,i-5pHLugP4xE7esBjF9BTv8p,På framställnin,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L161,True
69,69,69,69,prot-1901--fk--34,2,i-UqfPLNaeywd8DHbsWQWWWW,Kammaren åtskil,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L166,True
70,70,70,70,prot-1901--fk--34,2,i-RKBfy9SZPUxTbho4Q4pjzM,Arthur Hafström,note,,,https://betalab.kb.se/prot-1901--fk--34/prot_1901__fk__34-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--34.xml#L169,True
71,71,71,71,prot-1901--fk--4,10,i-AwjzWcbLEGtij5dZw5jE1B,N:o 4.,note,,margin,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L755,True
72,72,72,72,prot-1901--fk--4,10,i-WmHPms4nHcdqPQ1w9UoErD,10 Onsdagen den,note,,margin,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L758,True
73,73,73,73,prot-1901--fk--4,10,i-TzfZbV8VLzCuMugDZzMT9M,Statsverkspro-b,u,Q5960854,there's a segmentation error – part of margin note is included in the seg,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L762,True
74,74,74,74,prot-1901--fk--4,10,i-FRp2DBAhRTP9HLQqrjK6NW,positionen. (Fo,note,,margin,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L767,True
75,75,75,75,prot-1901--fk--4,10,i-TGq26w369hQd9bysUjTDcw,"löshet, ty de k",u,Q5960854,,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L771,True
76,76,76,76,prot-1901--fk--4,10,i-5Z351KWEqsen7caMZ6gxo7,"Men, herr talma",u,Q5960854,,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L796,True
77,77,77,77,prot-1901--fk--4,10,i-HE8dyHRZX31QkqgmucejPc,Herr Benedicks:,note,,intro,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L809,True
78,78,78,78,prot-1901--fk--4,10,i-924gzMiMqsyrunoafR2vNi,Herr grefve och,u,Q5569846,,https://betalab.kb.se/prot-1901--fk--4/prot_1901__fk__4-009.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1901/prot-1901--fk--4.xml#L813,True
79,79,79,79,prot-1902--ak--14,26,i-TBq22XB2keLRwYMmt6t29D,N:o 14. 26 Lörd,note,,margin,https://betalab.kb.se/prot-1902--ak--14/prot_1902__ak__14-025.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1900s/corpus/protocols/1902/prot-1902--ak--14.xml#L1857,True
