protocol_id,x,elem_id,text,segmentation,speaker,comments,facs,github
prot-1890--fk--6,2,i-7uQRmdpEgjfEVYTt89V5xL,"n:o 11, i anled",,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L135
prot-1890--fk--6,2,i-Tk4XAzrL3ZnkYpE8NZd4dX,"n:o 12, i anled",,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L139
prot-1890--fk--6,2,i-5wgdaGX5wKCZssETKkcwo5,Ledighet från r,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L143
prot-1890--fk--6,2,i-RkgPN8yRhAieAXmnKuUBPc,"Föredrogs, men ",,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L147
prot-1890--fk--6,2,i-2biajn3oaYbSusc2L2SAGL,o,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L152
prot-1890--fk--6,2,i-L24933RBNVW3H2c8Gv92vB,Föredrogs å nyo,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L156
prot-1890--fk--6,2,i-DD3TuirbPfm9kvv7UrHPir,Utskottets hems,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L161
prot-1890--fk--6,2,i-KnHfZ5DsZfUD5QJBDNZCfS,Föredrogs å nyo,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L164
prot-1890--fk--6,2,i-SJq3dYY7ukT23uGAc68BpG,1 punkten.,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L171
prot-1890--fk--6,2,i-8NkD6goJayhdwzoDq9WrAm,Herr statsrådet,,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L175
prot-1890--fk--6,2,i-7QAmXtkkJAk6VpbvgttH2D,"Utskottet, som ",,,,https://betalab.kb.se/prot-1890--fk--6/prot_1890__fk__6-001.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1890/prot-1890--fk--6.xml#L178
prot-1891--fk--8,19,i-QeuJaRPsr5h4AtUMdpUEpp,Onsdagen den 25,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1490
prot-1891--fk--8,19,i-2rMTaa9bBWQVzaL8N17r3h,på ett utveckla,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1494
prot-1891--fk--8,19,i-Rzs5qCjZKTH6YjsGWUDJpJ,Hvad nu den för,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1502
prot-1891--fk--8,19,i-6Xyfz2CrdRezmT6R5Ri12R,N:o 8.,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1507
prot-1891--fk--8,19,i-SUGvUTC12G8sKu3rvh4dXg,Anslag till ett,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1510
prot-1891--fk--8,19,i-F1bHEE9jp4MwpBRLFdFX5N,kasernetablis-,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1514
prot-1891--fk--8,19,i-BgEDh9vAVx9oJKd1bxmt4X,sement i Jemtla,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1519
prot-1891--fk--8,19,i-JAatCRko8qYPwRCzqP3vpK,(Forts.),,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1523
prot-1891--fk--8,19,i-8DS9nj3vFdfDeu4Z5viWMf,etablissement m,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1526
prot-1891--fk--8,19,i-REYLwh2Jp5YpCJMXQGjmKk,"tanke, den rätt",,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1530
prot-1891--fk--8,19,i-9pCbx63wMaTxL6Kqmz5FEX,I denna fråga h,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1552
prot-1891--fk--8,19,i-8M8xvtLPPHN8S91NRPvRNS,Efter härmed sl,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1558
prot-1891--fk--8,19,i-9K5GMBVmZWMEiTPDJUE4DW,26 punkten.,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1566
prot-1891--fk--8,19,i-3KGgaH1BJ2ZBHoxUwBw8g3,Friherre Leijon,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1569
prot-1891--fk--8,19,i-Y2UsHRCpYiMsAPTErB4YLF,Under en lång f,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1573
prot-1891--fk--8,19,i-81TBQb5uZNoiKpa2ATjva6,Anslag till,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1586
prot-1891--fk--8,19,i-B6F74nzRoG1cjAX61NVKKv,Karlsborgs,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1590
prot-1891--fk--8,19,i-YMSf4weVJPWSF9BwPtQXs,fästningsbyggna,,,,https://betalab.kb.se/prot-1891--fk--8/prot_1891__fk__8-018.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1891/prot-1891--fk--8.xml#L1595
prot-1892--ak--45,9,i-DiDPLhSME2LTKcyLBktUTd,Tisdagen den 17,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L646
prot-1892--ak--45,9,i-UytvQqxwKnMDvzbgCarpyC,någon annan lin,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L649
prot-1892--ak--45,9,i-9SXrmE3wBBrrzLtYeWPxzA,N:o 45. Angåend,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L652
prot-1892--ak--45,9,i-38ayvpGcBDxwktRMAVwhgv,nedlagt så stor,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L656
prot-1892--ak--45,9,i-Cq9Mp4LqARGi8hWfJcsTHF,af alla på Räge,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L661
prot-1892--ak--45,9,i-JHaKAMVtYBVqoTE1nW2JUg,af en förättrad,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L664
prot-1892--ak--45,9,i-W9WVumtSwmQuoBSjpewNZv,W. Benda har up,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L667
prot-1892--ak--45,9,i-G4CtNYf1wjPdNDxtFjLzEX,vore lika säker,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L672
prot-1892--ak--45,9,i-SnNMExhoGRhHdV6vZDkJvu,förbindelse mel,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L678
prot-1892--ak--45,9,i-H3LaFwNDFA1xrDtgztAWxd,afslutande äfve,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L683
prot-1892--ak--45,9,i-GUt6iyyZvh6KSGZ1m1e2gT,När nu Preussen,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L688
prot-1892--ak--45,9,i-De9KSnFEgriCk9WJh1Vxr5,I valet angåend,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L701
prot-1892--ak--45,9,i-GcGdYYiqqjvuphr7ssBEH3,Huru långt stad,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L733
prot-1892--ak--45,9,i-Mf77YrogeKsvcvYbJX5qbq,Det egentliga s,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L739
prot-1892--ak--45,9,i-KpakarLiG2wuWzTscQK4Yi,kontinenten.,,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L746
prot-1892--ak--45,9,i-XBbUVMr7C8xFSwDioFBquy,(Forts.),,,,https://betalab.kb.se/prot-1892--ak--45/prot_1892__ak__45-008.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--ak--45.xml#L750
prot-1892--fk--23,8,i-4LdDyLGbxAK6JvzanRik2U,"N:o 28,",,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L640
prot-1892--fk--23,8,i-SbQh6RbB9KZE5WqS5mU4Fu,8 Onsdagen den ,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L643
prot-1892--fk--23,8,i-SGV1mQJ2nt2s8W5QQj52Ld,Omorganisakejsa,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L647
prot-1892--fk--23,8,i-8cy9Gm37dg4FN3EYxrirwq,ton a skånska,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L653
prot-1892--fk--23,8,i-KBk5CYhw4coJnsmgSwpmbc,mönster för Eur,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L658
prot-1892--fk--23,8,i-EmHLPpnhAyYpPDk2QFPtms,husaroch republ,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L663
prot-1892--fk--23,8,i-7gYpogskRDVZQigmtq2cNA,dragon-,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L667
prot-1892--fk--23,8,i-91Hm91VwG7zTzhGDSCsUwD,sammandrabbning,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L670
prot-1892--fk--23,8,i-R2ch2u1xQ2Jd32GbP1fRhE,regementena. oc,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L674
prot-1892--fk--23,8,i-7ufJ25SN4NNWQKiRy3Saf2,(Forts.),,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L679
prot-1892--fk--23,8,i-AboamE8BPyNegDWtrVtJ6h,Det är således ,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L683
prot-1892--fk--23,8,i-Johrrg7XG3nUaFSa7si9XZ,Många stränga o,,,,https://betalab.kb.se/prot-1892--fk--23/prot_1892__fk__23-007.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--23.xml#L722
prot-1892--fk--33,79,i-BLC3ZCxL6QwaQmj3r4sapP,Fredagen den 6 ,,,,https://betalab.kb.se/prot-1892--fk--33/prot_1892__fk__33-078.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--33.xml#L6450
prot-1892--fk--33,79,i-EGPKiShNNk1yu1eagDGUQo,hvilken tullsat,,,,https://betalab.kb.se/prot-1892--fk--33/prot_1892__fk__33-078.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--33.xml#L6454
prot-1892--fk--33,79,i-5oRw11mTgxDP94ffWpRTS5,Herr Reuterswär,,,,https://betalab.kb.se/prot-1892--fk--33/prot_1892__fk__33-078.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1890s/corpus/protocols/1892/prot-1892--fk--33.xml#L6464
