year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1914,277.0,277.0,277.0,277.0,277.0
1915,183.0,183.0,183.0,183.0,183.0
1916,202.0,202.0,202.0,202.0,202.0
1917,148.0,148.0,148.0,148.0,148.0
1918,176.0,176.0,176.0,176.0,176.0
1919,149.0,149.0,149.0,149.0,149.0
1920,153.0,153.0,153.0,153.0,153.0
1921,110.0,110.0,110.0,110.0,110.0
1922,93.0,93.0,93.0,93.0,93.0
1923,91.0,91.0,91.0,91.0,91.0
1924,87.0,87.0,87.0,87.0,87.0
1925,88.0,88.0,88.0,88.0,88.0
1926,88.0,88.0,88.0,88.0,88.0
1927,84.0,84.0,84.0,84.0,84.0
1928,84.0,84.0,84.0,84.0,84.0
1929,82.0,82.0,82.0,82.0,82.0
1930,94.0,94.0,94.0,94.0,94.0
1931,92.0,92.0,92.0,92.0,92.0
1932,112.0,112.0,112.0,112.0,112.0
1933,101.0,101.0,101.0,101.0,101.0
1934,95.0,95.0,95.0,95.0,95.0
1935,86.0,86.0,86.0,86.0,86.0
1936,98.0,98.0,98.0,98.0,98.0
1937,88.0,88.0,88.0,88.0,88.0
1938,87.0,87.0,87.0,87.0,87.0
1939,142.0,142.0,142.0,142.0,142.0
1940,128.0,128.0,128.0,128.0,128.0
1941,102.0,102.0,102.0,102.0,102.0
1942,60.0,60.0,60.0,60.0,60.0
1943,72.0,72.0,72.0,72.0,72.0
1944,70.0,70.0,70.0,70.0,70.0
1945,84.0,84.0,84.0,84.0,84.0
1946,86.0,86.0,86.0,86.0,86.0
1947,74.0,74.0,74.0,74.0,74.0
1948,80.0,80.0,80.0,80.0,80.0
1949,64.0,64.0,64.0,64.0,64.0
1950,68.0,68.0,68.0,68.0,68.0
1951,69.0,69.0,69.0,69.0,69.0
1952,64.0,64.0,64.0,64.0,64.0
1953,64.0,64.0,64.0,64.0,64.0
1954,66.0,66.0,66.0,66.0,66.0
1955,64.0,64.0,64.0,64.0,64.0
1956,66.0,66.0,66.0,66.0,66.0
1957,60.0,60.0,60.0,60.0,60.0
1958,66.0,66.0,66.0,66.0,66.0
1959,64.0,64.0,64.0,64.0,64.0
1960,59.0,59.0,59.0,59.0,59.0
1961,72.0,72.0,72.0,72.0,72.0
1962,73.0,73.0,73.0,73.0,73.0
1963,74.0,74.0,74.0,74.0,74.0
1964,84.0,84.0,84.0,84.0,84.0
1965,84.0,84.0,84.0,84.0,84.0
1966,78.0,78.0,78.0,78.0,78.0
1967,106.0,106.0,106.0,106.0,106.0
1968,90.0,90.0,90.0,90.0,90.0
1969,86.0,86.0,86.0,86.0,86.0
1970,92.0,92.0,92.0,92.0,92.0
1971,152.0,152.0,152.0,152.0,152.0
1972,148.0,148.0,148.0,148.0,148.0
1973,161.0,161.0,161.0,161.0,161.0
1974,146.0,146.0,146.0,146.0,146.0
1975,200.0,200.0,200.0,200.0,200.0
1976,88.0,88.0,88.0,88.0,88.0
1977,127.0,127.0,127.0,127.0,127.0
1978,176.0,176.0,176.0,176.0,176.0
1979,172.0,172.0,172.0,172.0,172.0
1980,174.0,174.0,174.0,174.0,174.0
1981,178.0,178.0,178.0,178.0,178.0
1982,167.0,167.0,167.0,167.0,167.0
1983,170.0,170.0,170.0,170.0,170.0
1984,169.0,169.0,169.0,169.0,169.0
1985,167.0,167.0,167.0,167.0,167.0
1986,139.0,139.0,139.0,139.0,139.0
1987,140.0,140.0,140.0,140.0,140.0
1988,133.0,133.0,133.0,133.0,133.0
1989,142.0,142.0,142.0,142.0,142.0
1990,129.0,129.0,129.0,129.0,129.0
1991,127.0,127.0,127.0,127.0,127.0
1992,123.0,123.0,123.0,123.0,123.0
1993,125.0,125.0,125.0,125.0,125.0
1994,122.0,122.0,122.0,122.0,122.0
1995,115.0,115.0,115.0,115.0,115.0
1996,119.0,119.0,119.0,119.0,119.0
1997,122.0,122.0,122.0,122.0,122.0
1998,112.0,112.0,112.0,112.0,112.0
1999,128.0,128.0,128.0,128.0,128.0
2000,127.0,127.0,127.0,127.0,127.0
2001,125.0,125.0,125.0,125.0,125.0
2002,122.0,122.0,122.0,122.0,122.0
2003,134.0,134.0,134.0,134.0,134.0
2004,144.0,144.0,144.0,144.0,144.0
2005,145.0,145.0,145.0,145.0,145.0
2006,136.0,136.0,136.0,136.0,136.0
2007,142.0,142.0,142.0,142.0,142.0
2008,141.0,141.0,141.0,141.0,141.0
2009,147.0,147.0,147.0,147.0,147.0
2010,128.0,128.0,128.0,128.0,128.0
2011,140.0,140.0,140.0,140.0,140.0
2012,136.0,136.0,136.0,136.0,136.0
2013,134.0,134.0,134.0,134.0,134.0
2014,123.0,123.0,123.0,123.0,123.0
2015,130.0,130.0,130.0,130.0,130.0
2016,134.0,134.0,134.0,134.0,134.0
2017,142.0,142.0,142.0,142.0,142.0
2018,112.0,112.0,112.0,112.0,112.0
2019,148.0,148.0,148.0,148.0,148.0
2020,158.0,158.0,158.0,158.0,158.0
2021,142.0,142.0,142.0,142.0,142.0
2022,,,,,
