protocol_id,elem_id,segmentation,comments,text,link,subset
prot-1911--ak--19,i-158eu2MLKPzXbfi5pKDjg,,,Herr Jesperson:,https://betalab.kb.se/prot-1911--ak--19/prot_1911__ak__19-057.jp2/_view,prot-1911--ak
prot-1912--fk--30,i-13Xd9Ca3HQzEKWgPJr2wJ,,,18 Onsdagen den 1 maj.,https://betalab.kb.se/prot-1912--fk--30/prot_1912__fk__30-017.jp2/_view,prot-1912--fk
prot-1912--fk--15,i-145GeBpKTDbxMMpmiS1ju,,,Kammaren sammanträdde kl. 7 e. m.,https://betalab.kb.se/prot-1912--fk--15/prot_1912__fk__15-000.jp2/_view,prot-1912--fk
prot-1912--fk--28,i-14E6dJxbyQHRHfA4pkduM,,,"Om man skall skaffa sig en tomt för att bebygga den till ett eget hem, är naturligtvis det afgörande, huru mycket den kostar, och det är ju fullkomligt likgiltigt, om upplåtaren ämnar använda penningarna till att därmed bilda en fond för att därmed inlösa byggnaderna vid aftalstidens slut eller om han ämnar göra någonting annat med dem. Nu säger vattenfallsstyrelsen: det är just hvad som är fallet här vid Trollhättan att vi taga afgifter, hvilka sammanlagda äro lagom beräknade efter tomtens värde, men det kan ju kanske låta illa, att en del af dessa afgifter skola användas för att inlösa tomträttsinnehafvarens egna byggnader; och då detta har väckt ovilja, bör det tagas bort och man bör skrifva så, att det icke syns i kontrakten hädanefter.",https://betalab.kb.se/prot-1912--fk--28/prot_1912__fk__28-028.jp2/_view,prot-1912--fk
prot-1912--ak--54,i-113qzdsbWMbP1qZ4r4afb,,,"Omröstningen enligt denna proposition utvisade 133 ja mot 45 nej, hvadan propositionen i hufvudvoteringen erhöll följande af kammaren godkända lydelse:",https://betalab.kb.se/prot-1912--ak--54/prot_1912__ak__54-056.jp2/_view,prot-1912--ak
prot-1912--ak--14,i-13dVr55SKyzuHwDnhDvNM,,,"Jag ber att få nämna, att Första kammaren märkvärdigt nog gått ifrån de formalistiska skäl, som den förut haft, och bifallit motionen. Andra kammaren biföll en dylik motion i fjol. Jag vet icke, huru den kommer att göra nu, men jag tager mig",https://betalab.kb.se/prot-1912--ak--14/prot_1912__ak__14-034.jp2/_view,prot-1912--ak
prot-1912--ak--49,i-14ToAzb7QJxyhtvh9DsQr,,,Herr Edén instämde häruti.,https://betalab.kb.se/prot-1912--ak--49/prot_1912__ak__49-031.jp2/_view,prot-1912--ak
prot-1913--fk--10,i-1C9aGgH8SuuGJUy8Jrq6y,,,"Överläggningen ansågs härmed slutad, varefter kammaren biföll vad utskottet i denna punkt hemställt.",https://betalab.kb.se/prot-1913--fk--10/prot_1913__fk__10-068.jp2/_view,prot-1913--fk
prot-1913--fk--28,i-1GHLoVrG43aGu4qP5RLPu,,,Herr talman! Jag yrkar bifall till utskottets förslag.,https://betalab.kb.se/prot-1913--fk--28/prot_1913__fk__28-081.jp2/_view,prot-1913--fk
prot-1913--fk--14,i-1JEEi1hhU5GV6X8rYXteu,,,Om understödjande av idrotten.,https://betalab.kb.se/prot-1913--fk--14/prot_1913__fk__14-073.jp2/_view,prot-1913--fk
prot-1913--ak--49,i-143PQsPmxrDX1k4aJzLyK,,,"man här icke medtagit arbetsgivarbidrag. Ja, detta är naturligtvis en fråga av synnerligen vital betydelse, men är det rik-",https://betalab.kb.se/prot-1913--ak--49/prot_1913__ak__49-050.jp2/_view,prot-1913--ak
prot-1913--ak--53,i-18GiQVSPGKVeHy5rw3E81,,,Nr 53.,https://betalab.kb.se/prot-1913--ak--53/prot_1913__ak__53-109.jp2/_view,prot-1913--ak
prot-1913--ak--53,i-18xRHKdNRE2LJYGGWo7W6,,,Angående ett statsstuteri å Ottenby kungsladugård.,https://betalab.kb.se/prot-1913--ak--53/prot_1913__ak__53-035.jp2/_view,prot-1913--ak
prot-1914-b-fk--10,i-1HaiR4d2i8nzpqGsLvwWE,,,"Robert Dahl, Leg. läk.",https://betalab.kb.se/prot-1914-b-fk--10/prot_1914_b_fk__10-003.jp2/_view,prot-1914--fk
prot-1914-b-fk--52,i-1MGvcjhyHwtLNdWDRxyaT,,,och omyndigs kommunala,https://betalab.kb.se/prot-1914-b-fk--52/prot_1914_b_fk__52-021.jp2/_view,prot-1914--fk
prot-1914-b-fk--15,i-1bjyntMp1P53KS6CzLqNp,,,Interpellation ang. nykterhetslagstiftning. (Forts.),https://betalab.kb.se/prot-1914-b-fk--15/prot_1914_b_fk__15-003.jp2/_view,prot-1914--fk
prot-1914-a-ak--23,i-13xAcsz753ksXg9TvC1jQ,,,vid kontoret i Visby,https://betalab.kb.se/prot-1914-a-ak--23/prot_1914_a_ak__23-007.jp2/_view,prot-1914--ak
prot-1914-b-ak--59,i-172pbh4t3c85gdhhph934,,,"Den, det ej vill, röstar Nej;",https://betalab.kb.se/prot-1914-b-ak--59/prot_1914_b_ak__59-025.jp2/_view,prot-1914--ak
prot-1914-a-ak--29,i-19RS1SNsps4kma43N7zyP,,,Torsdagen den 26 februari.,https://betalab.kb.se/prot-1914-a-ak--29/prot_1914_a_ak__29-000.jp2/_view,prot-1914--ak
prot-1915--fk--75,i-1L7fMW2uYaAQQPbZSnmQq,,,"Onsdagen den 19 maj, f. m. 65",https://betalab.kb.se/prot-1915--fk--75/prot_1915__fk__75-064.jp2/_view,prot-1915--fk
prot-1915--fk--61,i-1NVZ3VpgKGTe3tf3zZ4Lg,,,Nr 61,https://betalab.kb.se/prot-1915--fk--61/prot_1915__fk__61-037.jp2/_view,prot-1915--fk
prot-1915--fk--1,i-1Xux19ajWXpBv8dmGp2cC,,,Förteckning å de ledamöter av Riksdagens Första kammare för vilka fullmakter granskats inför chefen för justitiedepartementet den 13 januari 1915.,https://betalab.kb.se/prot-1915--fk--1/prot_1915__fk__1-001.jp2/_view,prot-1915--fk
prot-1915--ak--58,i-13aSnhp9PBAQeKXseBEb6,,,"Den kommitté, som behandlade nämnda ärende, upptog ävenledes till granskning ett projekt om en snabbroute mellan Göteborg och Immingham (Hull). Emellertid ansågs, att staten ej gärna med subsidier kunde stödja det engelska Wilsonbolaget, vilket som bekant haft ett mångårigt och mycket inkomstbringande monopol på trafiken mellan Göteborg och Hull. Saken ligger emellertid annorlunda nu. Wilsonlinjen har på grund av kriget indragit sina båtar på Göteborg, och förbindelsen skötes nu genom svenska ångfartyg, som även medföra post till Ryssland. Jag kan icke tänka mig, att denna linje Göteborg— Hull eller Göteborg—Immingham, som är den genaste och naturligaste förbindelsen mellan Sverige och Storbritannien och som leder rakt in i Englands förnämsta merkantila och industriella centra, Liverpool, Manchester, Scheffield, Birmingham m. fl. betydande platser, skall återgå till sitt förutvarande skick. Här bör en svensk snabbroute tillsammans med en engelsk dylik efter kriget träda 1 verksamhet. Det må framhållas, att routen Petersburg-Reval-Stockholm-Göteborg-Immingham utgör en så nära som möjligt rät linje och att om en förstklassig kommunikationsled här upprättas, en sådan i snabbhet och bekvämlighet kommer att bli vida överlägsen routen Petersburg—Stockholm—Kristiania —Bergen—Newcastle. Emellertid bör man ihågkomma, att routen Bergen—Newcastle har fem förstklassiga förbindelser i veckan, varför från vår sida åtgärder böra vidtagas för att åtminstone få förbindelser varannan dag till stånd över Göteborg— Hull eller Immingham.",https://betalab.kb.se/prot-1915--ak--58/prot_1915__ak__58-008.jp2/_view,prot-1915--ak
prot-1915--ak--74,i-167nYpqL6MM1kNf11pPax,,,Tisdagen den 11 maj. 15 Nr 74.,https://betalab.kb.se/prot-1915--ak--74/prot_1915__ak__74-014.jp2/_view,prot-1915--ak
prot-1915--ak--85,i-18c5NdHHunbTvdRbMRc1e,,,Vad som därnäst mest tilltalar mig äro de vid bevillningsutskottets betänkande fogade författningsförslag men utan sammankoppling med bestämmelserna om kommunal folkomröstning.,https://betalab.kb.se/prot-1915--ak--85/prot_1915__ak__85-005.jp2/_view,prot-1915--ak
prot-1916--fk--56,i-13Qqf1FjCd2aBpMtFNzxL,,,Ifrågasatt tillägg till 12 $ i bevillningsförordningen. (Forts.),https://betalab.kb.se/prot-1916--fk--56/prot_1916__fk__56-053.jp2/_view,prot-1916--fk
prot-1916--fk--52,i-15VnHPTdFjfYWejM4SUA9,,,"Vidare har man dragit fram såsom en betänklighet mot att följa reservanterna, att vissa enklare vägar i Norrland — »vägar av enklare beskaffenhet> — som icke byggas ens till 3,6 meters bredd, skulle komma att uteslutas från automobiltrafik, om man följer reservanternas förslag och alltså låter bestämmelserna i den nuvarande förordningen stå kvar. Häremot behöver man endast erinra, att i vilketdera fallet som helst icke alla vägar ovillkorligen skola uteslutas eller upplåtas för automobiltrafik vare sig man bestämt vägens bredd till att överstiga eller till att minst uppnå 3,6 meter och att särskilt i Norrland stora sträckor av vägar, som icke hava större bredd än 3 meter, redan äro upplåtna för automobiltrafik.",https://betalab.kb.se/prot-1916--fk--52/prot_1916__fk__52-058.jp2/_view,prot-1916--fk
prot-1916--fk--81,i-19pUzJQsb4bV4PJuGVeak,,,"deles för litet för att komma ifråga — när alla större projekt, som framfördes vid undersökningen visade sig icke vara hållbara, fanns",https://betalab.kb.se/prot-1916--fk--81/prot_1916__fk__81-028.jp2/_view,prot-1916--fk
prot-1916--ak--54,i-13RmQFd6ERYUPoCwU9jwP,,,"I anslutning till vad herr Öberg m. fl. föreslagit uti en inom andra kammaren väckt och till jordbruksutskottet hänvisad motion, nr 111, hemställde utskottet, att riksdagen måtte i skrivelse till Kungl. Maj:t anhålla, att Kungl. Maj:t ville utreda, huruvida och på vad sätt utbildningskurser borde anordnas för kvinnliga ladugårdsskötare i Norrland och Dalarna samt för riksdagen framlägga det förslag, vartill en sådan utredning kunde föranleda.",https://betalab.kb.se/prot-1916--ak--54/prot_1916__ak__54-053.jp2/_view,prot-1916--ak
prot-1916--ak--71,i-13fK3LuHvEw8ifKiAB6jS,,,"taljer, utan endast i de verkligt betydelsefulla frågorna. Ett så-",https://betalab.kb.se/prot-1916--ak--71/prot_1916__ak__71-050.jp2/_view,prot-1916--ak
prot-1916--ak--67,i-171FcPUThuhTZW7L36UZt,,,» >» »,https://betalab.kb.se/prot-1916--ak--67/prot_1916__ak__67-079.jp2/_view,prot-1916--ak
prot-1917--fk--46,i-1CDi8mVg6rc9FYvazC7r5,,,(Forts.),https://betalab.kb.se/prot-1917--fk--46/prot_1917__fk__46-011.jp2/_view,prot-1917--fk
prot-1917--fk--60,i-1McdnPGHe4W1QEFZqtt7K,,,"— | — 10000 5,000] — 2,500| 600) —8,100 15,000| — 7,500) 1,800] 24,300",https://betalab.kb.se/prot-1917--fk--60/prot_1917__fk__60-005.jp2/_view,prot-1917--fk
prot-1917--fk--39,i-1MySE2Rh1ftxUERyAJRvq,,,"Jag vill sluta med att säga, att det ligger i högerns händer att åstadkomma en sådan utväg, att frågan lyftes över partierna, ty icke är det vi, som giort den till en partifråga, utan det är högern. Jag hemställer om bifall till yrkandet om återremiss.",https://betalab.kb.se/prot-1917--fk--39/prot_1917__fk__39-052.jp2/_view,prot-1917--fk
prot-1917--ak--35,i-12oBTyB8Grh5GUEZMZofM,,,Fredagen den 23 mars. 5 Nr 85.,https://betalab.kb.se/prot-1917--ak--35/prot_1917__ak__35-004.jp2/_view,prot-1917--ak
prot-1917--ak--52,i-1331no2itw5bCUGCDvTzj,,,b) att ifrågavarande motioner icke måtte till någon riksdagens åtgärd föranleda.,https://betalab.kb.se/prot-1917--ak--52/prot_1917__ak__52-001.jp2/_view,prot-1917--ak
prot-1917--ak--41,i-1BGSaRLU1CrrjzFrHmFge,,,"Jag tror, att när man utgår från den synen på tingen, så måste man säga, att det i egentlig mening frätande och förstörande för dem, som vilja bevara människorna själva såsom samhällets största värde, ligger i penningens makt, som herrarna vilja befästa. Kännen ni icke något av skamkänsla — ja, rent ut sagt skamkänsla! — över att förhållandet skall vara sådant, att om fattiga barnaföderskors män för att kunna klara sig för tillfället, måste låta kommunen träda emellan, då komma de att förlora sin politiska rösträtt, därför att herrarna hålla på det. Borde icke en skamkänsla krypa över er alla, när så är, att världen befinner sig i nödläge och dyrtid och dessa medborgare dock icke få genom sin röstning deltaga i samhällets politiska liv? När det gäller rent sedliga värden, bekämpande av sprit, brännvin och alkohol, är man så mån om att bevara penningens makt, att man i själva verket icke vill gå med på det lokala vetot, och detta med det öppna motivet, att det skulle betyda att skjuta en bresch i den 40-gradiga skalan. Det innebär ett förstörande av sedliga värden bara för att penningen fortfarande skall prägla vårt politiska liv. Är detta konservatism? Nej, och detta blottar en djupgående förändring i högerpartiets struktur. Den gamla konservatismen, som tt. ex. framträdde inom ämbetsmannavärlden förr i tiden, som åtskilliga minnas och som vi aktade högt, hade dock den förtjänsten, att den ville bevara något av traditionen, av känslan för det hävdvunna. Men nu vill man något helt annat. Här har trängt igenom i den nutida högern något, som är en reflex, ett utslag av hela sambhällets liv, men som det är av vikt för alla, som vilja skydda samhällets högsta värden, att på det allra bestämdaste reagera mot.",https://betalab.kb.se/prot-1917--ak--41/prot_1917__ak__41-053.jp2/_view,prot-1917--ak
prot-1918--fk--48,i-11vtGjSVGzGGhtbXbAhUS,,,Nr 458.,https://betalab.kb.se/prot-1918--fk--48/prot_1918__fk__48-038.jp2/_view,prot-1918--fk
prot-1918--fk--2,i-181pppg6oahpC4mSntva6,,,"nr 23, av herr Wickman, angående årligt understöd åt renskriverskan Alfhild Maria Westring; och",https://betalab.kb.se/prot-1918--fk--2/prot_1918__fk__2-015.jp2/_view,prot-1918--fk
prot-1918--fk--50,i-1CJUYcRASaPgMRAGnepL3,,,Om tilläggsbidrag till,https://betalab.kb.se/prot-1918--fk--50/prot_1918__fk__50-020.jp2/_view,prot-1918--fk
prot-1918--ak--31,i-16KzAvt6Giyg1oP2d8XDX,,,& 19.,https://betalab.kb.se/prot-1918--ak--31/prot_1918__ak__31-075.jp2/_view,prot-1918--ak
prot-1918--ak--18,i-173wQYaWLbuDGpmj2EQqu,,,"Herr Månsson i Hagaström, som anförde:",https://betalab.kb.se/prot-1918--ak--18/prot_1918__ak__18-005.jp2/_view,prot-1918--ak
prot-1918--ak--66,i-1Ap4F4eiiSUKH1VqT1Zxm,,,"åtskilligt hårt det där. Och sedan han tjänstgjort denna långa tid,",https://betalab.kb.se/prot-1918--ak--66/prot_1918__ak__66-006.jp2/_view,prot-1918--ak
prot-1919--fk--16,i-14bBnmjnz5EUTreZw5KX4,,,Utskottet yttrar följande: »Såsom av det föregående fram-,https://betalab.kb.se/prot-1919--fk--16/prot_1919__fk__16-027.jp2/_view,prot-1919--fk
prot-1919--fk--53,i-14s6CBv7qVph8HY2ucaRg,,,"I övrigt, och som — — — — stadgat är.",https://betalab.kb.se/prot-1919--fk--53/prot_1919__fk__53-001.jp2/_view,prot-1919--fk
prot-1919--fk--22,i-18BmBNDpgxjDGocDa9u5S,,,"Nr 22,",https://betalab.kb.se/prot-1919--fk--22/prot_1919__fk__22-008.jp2/_view,prot-1919--fk
prot-1919--ak--9,i-11fD83BaQiqpb7X6Qepog,,,Nr 9;,https://betalab.kb.se/prot-1919--ak--9/prot_1919__ak__9-002.jp2/_view,prot-1919--ak
prot-1919--ak--31,i-14JHsWegf7pnfZ6dy1uQ1,,,"nr 15, i anledning av Kungl. Maj:ts proposition med förslag till lag om fondkommissionsrörelse och fondbörsverksamhet samt till lag om ändring i lagen den 22 juni 1911 om bankrörelse ävensom en i ämnet väckt motion;",https://betalab.kb.se/prot-1919--ak--31/prot_1919__ak__31-048.jp2/_view,prot-1919--ak
prot-1919--ak--46,i-14pMAE2zCLk7ia1rpw7ei,,,"da för skattefrihet, men jag tycker ingen har stridit så grundligt som kooperatörerna för skattefrihet. Själv är jag kooperatör, men så långt kan jag åtminstone icke gå, att jag strider för skattefrihet. Det säger jag rent ut.",https://betalab.kb.se/prot-1919--ak--46/prot_1919__ak__46-036.jp2/_view,prot-1919--ak
prot-1920--fk--11,i-11igi9f4TwwMk8WEQ4c8B,,,Nr 11.,https://betalab.kb.se/prot-1920--fk--11/prot_1920__fk__11-003.jp2/_view,prot-1920--fk
prot-1920--fk--9,i-13TKXWiDph7T39X5HcJNp,,,färsk fisk till,https://betalab.kb.se/prot-1920--fk--9/prot_1920__fk__9-008.jp2/_view,prot-1920--fk
prot-1920--fk--21,i-16tAv2KG71VwR1d4umUiU,,,"Bemödandena fortsattes därför att framkalla ett påbyggande av lagen eller andra åtgärder för skogsvårdens främjande. Andra kammaren uttalade sig därvid ibland för dylika angelägenheter. Sålunda biföll kammaren exempelvis åren 1903, 1907 och 1908 förslag, att ägare av skogar av mera betydande omfattning måtte åläggas att å dem införa uthålligt skogsbruk.",https://betalab.kb.se/prot-1920--fk--21/prot_1920__fk__21-013.jp2/_view,prot-1920--fk
prot-1920--ak--30,i-11HsB3aX4b1QQkddEJhKT,,,(Forts.),https://betalab.kb.se/prot-1920--ak--30/prot_1920__ak__30-008.jp2/_view,prot-1920--ak
prot-1920--ak--7,i-11UPVzM6zW76rprcxpncT,,,Onsdagen den 21 januari. KI. 11 f. m.,https://betalab.kb.se/prot-1920--ak--7/prot_1920__ak__7-005.jp2/_view,prot-1920--ak
prot-1920--ak--8,i-112SPsVtui3JnK3Z5EyBNC,,,"nr 133, av herr Brännström m. fl.;",https://betalab.kb.se/prot-1920--ak--8/prot_1920__ak__8-001.jp2/_view,prot-1920--ak
prot-1921--fk--11,i-112Rw4GuTobi2ydPwBhF5v,,,"Det har här framhållits, att en bearbetning och agitation ägt rum. Försåvitt detta skall vara en reprimand till mig, så vill jag omnämna att jag någon tid varit uppe i Luleå och kom tillbaka hit först igår, varför jag icke varit i tillfälle att bedriva någon agitation för saken.",https://betalab.kb.se/prot-1921--fk--11/prot_1921__fk__11-064.jp2/_view,prot-1921--fk
prot-1921--fk--42,i-13R7NgE47mmdSwEnwepcd,,,tralfängelserna å Långholmen och Härlanda. (Forts.),https://betalab.kb.se/prot-1921--fk--42/prot_1921__fk__42-081.jp2/_view,prot-1921--fk
prot-1921--fk--44,i-16ddLuLzXTQiEFv2jNMwn,,,Lagförslag om arbetstidens begränsning.,https://betalab.kb.se/prot-1921--fk--44/prot_1921__fk__44-172.jp2/_view,prot-1921--fk
prot-1921--ak--17,i-11mTZEwJhRnUs9GEGA2HW,,,dels ock förslag till lag om rätt i vissa fall för polismyndighet att omhändertaga djur.,https://betalab.kb.se/prot-1921--ak--17/prot_1921__ak__17-120.jp2/_view,prot-1921--ak
prot-1921--ak--57,i-16b9biE9f5VXD5Ec4Bn93,,,"Herr talman! Washingtonkonferensen torde snart inte ha annat än historiskt intresse. Man kan ha vilken uppfattning man vill om en internationell reglering av arbetstiden, men i och med det förhålladet, att Förenta staterna inte från början ansågo sig kunna deltaga i det sammanträde, varvid denna konvention skrevs, var nog saken den gången fallen. Lika litet, som Förenta staterna ville avrusta, då det gällde krigsberedskapen, lika litet ville man avrusta, då det gällde den ekonomiska krigsberedskapen.",https://betalab.kb.se/prot-1921--ak--57/prot_1921__ak__57-024.jp2/_view,prot-1921--ak
prot-1921--ak--15,i-16kpa4mgfSN8FayJCtb2g,,,"För övrigt vill jag erinra om — jag antydde det i mitt förra anförande — att det var en huvudlös riksdag på sin tid, år 1910, som tillät den ohöljda »förryckningshistoria», som antagandet av vår nuvarande tulltaxa innebar för Sveriges industri. Nu ha i viss mån de aktieägare och fabrikanter och arbetare rätt, som säga: veta herrarna icke, vad ni vilja? Skola ni en gång votera tullar och sedan vägra att gå på och fortsätta att göra dessa högre undan för undan? Det borde ni ju känna till, att den ena tullförhöjningen drager den andra med sig. Med varje tullförhöjning följa ju även nya fabriker, med varje ny fabrik följer konkurrens, ännu större konkurrens än förut på inlandets marknader, hjälplösheten blir ännu hopplösare och krascherna komma allt närmare och oundgängligare. Och när icke mera några tullförhöjningar hjälpa, då kraschar det hela, knall och fall. Den utvecklingsgången är ohjälplig och ofrånkomlig i alla de länder, som gett sig in på en politik med höga tullar. Ni skola få se, att det kommer att gå den vägen även här, inom inte alltför lång tidrymd. Om tjugu eller trettio år få edra barn en gång vända upp ur plurret, när gyttjan går dem till munnen — nu går den oss till",https://betalab.kb.se/prot-1921--ak--15/prot_1921__ak__15-084.jp2/_view,prot-1921--ak
prot-1922--fk--10,i-13UwVru3SkAq13dDhiAoA,,,"Föredrogs och hänvisades till konstitutionsutskottet den av herr Hallin m. fl. väckta motionen, nr 105, angående eventuellt ändrade tidsbestämmelser m. m. för statsrevisionen.",https://betalab.kb.se/prot-1922--fk--10/prot_1922__fk__10-061.jp2/_view,prot-1922--fk
prot-1922--fk--20,i-19uwdGt3r5eaWwinBf1WR,,,(Forts.),https://betalab.kb.se/prot-1922--fk--20/prot_1922__fk__20-008.jp2/_view,prot-1922--fk
prot-1922--fk--1,i-1AJxBqFwtWLLMpr8T8cHn,,,I övrigt blevo de granskade fullmakterna lämnade utan anmärkning.,https://betalab.kb.se/prot-1922--fk--1/prot_1922__fk__1-003.jp2/_view,prot-1922--fk
prot-1922--ak--35,i-11KCnRHAv2NzEYmYqKReJ,,,"Det är sålunda under inga förhållanden för att förringa skolans uppgift, som jag tagit till orda, icke heller för att lägga skulden för de överklagade förhållandena på enskild man eller på inspektörerna. Det finnes inspektörer, som fara fram på ett oklokt sätt, och det finnes kloka och förståndiga sådana, liksom detsamma kan sägas om skolråd och församlingar. I denna dechargedebatt — ty det artar den sig att bli genom förutvarande statsrådets yttrande, då han begagnade detta tillfälle att söka fria sig från uttalanden, som, såvitt jag vet, icke förekommit 1 denna kammare, och det må vara honom väl unnat — skall jag be att få svara på hans fråga, hans uttryckliga fråga, som han icke fått svar på. Även utskottets ärade ordförande framställde densamma: varför påtalade icke 1919 års riksdag i dechargebetänkandet denna sak, och varför skulle det dröja åratal, innan invändningarna kommo mot skollagstiftningen? Jag skall giva utskottets ärade ordförande rätt uti, att det är alldeles avgjort så, att det var uppsatsen i Stadsförbundets tidskrift av doktor Grönvall, vilken väckte mycket stor uppmärksamhet, som 1 viss mån gav ett uppslag till tankarna i detta avseende, och mot vederhäftigheten av denna framställning har, såvitt jag vet, icke några berättigade invändningar kunnat göras. Men det finnes också",https://betalab.kb.se/prot-1922--ak--35/prot_1922__ak__35-060.jp2/_view,prot-1922--ak
prot-1922--ak--45,i-1127GizzVTmF4C7QHhom78,,,"han icke vill, att folket och riksdagen skola ha med de ekonomiska 4n9. ändring",https://betalab.kb.se/prot-1922--ak--45/prot_1922__ak__45-052.jp2/_view,prot-1922--ak
prot-1922--ak--36,i-15b8bs8bwhpWYHpefVSGJ,,,"Herr talman, mina herrar! Den sky av vittnen, som vi sett uppträda kring den siste ärade talarens anförande, kunde ju kanske vara ägnad att göra en något betänksam, när det gäller att ge uttryck åt en uppfattning, som rör sig efter helt andra linjer.",https://betalab.kb.se/prot-1922--ak--36/prot_1922__ak__36-057.jp2/_view,prot-1922--ak
prot-1923--fk--28,i-11pucYe3T3V8R4w8uvZU2,,,Herr greve och talman! Jag har endast att framställa yrkande om bifall till utskottets hemställan.,https://betalab.kb.se/prot-1923--fk--28/prot_1923__fk__28-003.jp2/_view,prot-1923--fk
