protocol_id,elem_id,speaker_name,speaker_i_ort,speaker_party,speaker_born,speaker_wiki_id,comments,text,link,Resposibility
prot-1934--ak--35,i-RgeGe8mXFbbRcyqBxSEYqs,Anders Anderson,"Anderson i Råstock, Anderson i Björkbrotorp",s,8 June 1874,Q6086540,Från och med 1938 heter han Anders Råstock (se rad 434),"Herr Anderson i Råstock, som yttrade:",https://betalab.kb.se/prot-1934--ak--35/prot_1934__ak__35-142.jp2/_view,Fredrik
prot-1934--ak--8,i-RhdLLyk4mtJ8imrpHWrdiY,Algot Törnkvist,"Törnkvist i Göteborg, Törnkvist i Karlskrona",s,19 July 1879,Q6218297,,Herr Törnkvist i Karlskrona:,https://betalab.kb.se/prot-1934--ak--8/prot_1934__ak__8-009.jp2/_view,Fredrik
prot-1935--fk--32,i-YZSWM2wou4HjuPieTkRTwC,Bo von Stockenström,von Stockenström i Ånhammar,"lib s, fris, fp",26 January 1887,Q6190872,,Herr von Stockenström:,https://betalab.kb.se/prot-1935--fk--32/prot_1935__fk__32-092.jp2/_view,Fredrik
prot-1935--fk--41,i-Ybko82MaeXxWdoxihTXJ4o,Alfred Petrén,Petrén i Stockholm,s,17 March 1867,Q6045861,,Herr Petrén:,https://betalab.kb.se/prot-1935--fk--41/prot_1935__fk__41-005.jp2/_view,Fredrik
prot-1935--fk--32,i-YcGj3Jr7Lb2Vig7zj3yijg,Ture Nerman,Nerman i Stockholm,"Socialistiska partiet, Kilbomspartiet, Socialdemokraterna",18 May 1886,Q538109,,Herr Nerman:,https://betalab.kb.se/prot-1935--fk--32/prot_1935__fk__32-030.jp2/_view,Fredrik
prot-1935--ak--25,i-Wy7eqWfCwJWjhGc3KFE1sr,Adolf Wallerius,Wallerius i Hjärtum,"lmb, h",12 April 1874,Q6230894,,Herr Wallerius:,https://betalab.kb.se/prot-1935--ak--25/prot_1935__ak__25-076.jp2/_view,Fredrik
prot-1935--ak--9,i-WyJtQgeB24F1e4dw49KYSs,August Spångberg,Spångberg i Charlottenberg,"k, sp, s",29 March 1893,Q4820820,,Herr Spångberg:,https://betalab.kb.se/prot-1935--ak--9/prot_1935__ak__9-022.jp2/_view,Fredrik
prot-1935--ak--14,i-Wz4aqP5eyQjBituEnnp4PA,Ludwig Brännström,"Brännström i Ljusvattnet, Brännström i Brännan","lmb, h",9 July 1876,Q5589019,"At this time, there are two Brännström in the second chamber: Nils Brännström and Ludwig Brännström, both from the region of Skellefteå/Västerbotten. In the bio books, their i-ort are Nils “Brännström i Burträsk”, and Ludwig “Brännström i Ljusvattnet”. However, in kammarens protokoll, Ludwig Brännström is called “Herr Brännström i Skellefteå”, and Nils Brännström ”Brännström i Burträsk”. Hence, this time it seems that kammarens protokoll is wrong!",Herr Brännström i Skellefteå:,https://betalab.kb.se/prot-1935--ak--14/prot_1935__ak__14-043.jp2/_view,Fredrik
prot-1936--fk--43,i-Yaf9tu1PF5pmEvLuhZ9ih3,Pontus Sandström,Sandström i Luleå,"n, h",26 June 1875,Q6093360,In the protocol he is referred to as P. Sandström,Herr Sandström:,https://betalab.kb.se/prot-1936--fk--43/prot_1936__fk__43-125.jp2/_view,Fredrik
prot-1936--fk--26,i-YbQjgjYdcTFpzHXwupwhMg,William Linder,"Linder i Stockholm, Linder i Malmö",s,3 June 1876,Q5955520,In the Riksdag register he is called F. W. Linder and in the bio book William Linder,Herr Linder:,https://betalab.kb.se/prot-1936--fk--26/prot_1936__fk__26-051.jp2/_view,Fredrik
prot-1936--fk--22,i-Ybupkg7ERghyRUHMH9Hn3H,Axel Löfvander,Löfvander i Kvarnby,Bondeförbundet,16 April 1880,Q5969615,,Herr Löfvander:,https://betalab.kb.se/prot-1936--fk--22/prot_1936__fk__22-001.jp2/_view,Fredrik
prot-1936--ak--35,i-QkdaeJh2nvpegyUxU5zUE5,Hilding Hagberg,"Hagberg i Luleå, Hagberg i Stockholm",k,28 October 1899,Q442028,"Partly incorrect intro, correct is: ""Herr Hagberg i Luleå, som nu på begäran erhöll ordet, yttrade:""","§ 16. Herr Hagberg i Luleå, som nu på begäran erhöll ordet, yttrade:",https://betalab.kb.se/prot-1936--ak--35/prot_1936__ak__35-060.jp2/_view,Fredrik
prot-1936--ak--17,i-QowXMpjR1hRoaFDUF4Saqk,"Ernst Olsson, Ernst Staxäng",Olsson i Staxäng,"lmb, h",12 April 1898,Q6187601,,Herr Olsson i Staxäng:,https://betalab.kb.se/prot-1936--ak--17/prot_1936__ak__17-035.jp2/_view,Fredrik
prot-1936--ak--35,i-Qp4uHEBizZavdDJWYuEcuZ,Anders Anderson,"Anderson i Råstock, Anderson i Björkbrotorp",s,8 June 1874,Q6086540,,Herr Anderson i Råstock:,https://betalab.kb.se/prot-1936--ak--35/prot_1936__ak__35-045.jp2/_view,Fredrik
prot-1937--fk--31,i-YXGQuCDaf9rmPhJTBQavkb,Theodor Borell,Borell i Saltsjö-Storängen,"n, h",12 November 1869,Q5582292,,Herr Borell:,https://betalab.kb.se/prot-1937--fk--31/prot_1937__fk__31-054.jp2/_view,Fredrik
prot-1937--fk--34,i-YXLPyDAvnDtrHLKSBND7JY,Carl Axel Reuterskiöld,Reuterskiöld i Uppsala,bf,12 January 1870,Q6068957,,Herr Reuterskiöld:,https://betalab.kb.se/prot-1937--fk--34/prot_1937__fk__34-072.jp2/_view,Fredrik
prot-1937--fk--42,i-YcTK8DMvTr54QzWxnAoRyo,Gustaf Velander,Velander i Sundsvall,"n, h",1 June 1884,Q6223367,,Herr Velander:,https://betalab.kb.se/prot-1937--fk--42/prot_1937__fk__42-023.jp2/_view,Fredrik
prot-1937--ak--37,i-YaWKaQuA8Rvh1kjScXi1ig,Adolv Olsson,Olsson i Gävle,s,15 January 1886,Q6026379,"Partly incorrect intro, correct is: ""Herr Olsson i Gävle:""",. Herr Olsson i Gävle:,https://betalab.kb.se/prot-1937--ak--37/prot_1937__ak__37-128.jp2/_view,Fredrik
prot-1937--ak--17,i-YadFbQkpTsNNm1mvciTsJP,Harald Hallén,"Hallén i Torrskog, Hallén i Arvika",Socialdemokraterna,29 March 1884,Q5784568,,"Ordet gavs härefter på begäran till herr Hallén, som yttrade:",https://betalab.kb.se/prot-1937--ak--17/prot_1937__ak__17-118.jp2/_view,Fredrik
prot-1937--ak--16,i-YbyQngrDbJPDPetbxZeVbB,Karl Kilbom,Kilbom i Stockholm,"k, Kilbomspartiet, s",8 May 1885,Q1347810,,Herr Kilbom:,https://betalab.kb.se/prot-1937--ak--16/prot_1937__ak__16-014.jp2/_view,Fredrik
prot-1938--fk--35,i-YYQiD9UB6RVMCDrx6vho6C,Edgar Sjödahl,Sjödahl i Göteborg,s,19 January 1887,Q6178299,,Herr Sjödahl:,https://betalab.kb.se/prot-1938--fk--35/prot_1938__fk__35-000.jp2/_view,Fredrik
prot-1938--fk--24,i-YZgvp8BnyhHvGqGufwyScw,Theodor Nilsson,Nilsson i Mölndal,s,25 November 1872,Q6012010,,"Herr Nilsson, Theodor:",https://betalab.kb.se/prot-1938--fk--24/prot_1938__fk__24-046.jp2/_view,Fredrik
prot-1938--fk--16,i-YZrijEowbQAZJXUfmmFA43,Nils Gabrielsson ,Gabrielsson i Teg,"bf, n, h",14 April 1876,Q5748895,,Herr Gabrielsson:,https://betalab.kb.se/prot-1938--fk--16/prot_1938__fk__16-028.jp2/_view,Fredrik
prot-1938--ak--18,i-YZtS6ARoo4bzo71YJCHEX1,Ragnar Lundqvist,Lundqvist i Rotebro,"lmb, h",6 September 1885,Q5967602,,Herr Lundqvist:,https://betalab.kb.se/prot-1938--ak--18/prot_1938__ak__18-055.jp2/_view,Fredrik
prot-1938--ak--37,i-YawS4i9iVAMxTnY5WqwhzN,Anders Råstock,"Anderson i Råstock, Anderson i Björkbrotorp",s,8 June 1874,Q6086540,Före 1938 hette han Anders Anderson (se rad 410),Herr Råstock:,https://betalab.kb.se/prot-1938--ak--37/prot_1938__ak__37-094.jp2/_view,Fredrik
prot-1938--ak--29,i-YbV8gY9pqKA3WXaXowgoCA,Oscar Dahlbäck,Dahlbäck i Jönköping,fp,13 April 1886,Q5615346,,Herr Dahlbäck:,https://betalab.kb.se/prot-1938--ak--29/prot_1938__ak__29-009.jp2/_view,Fredrik
prot-1939-urtima-fk--14,i-YbC1LvsmUiGbNWyugzCdNH,Leonard Hagström,Hagström i Kyrktåsjö,"n, h",20 June 1881,Q5782807,,Herr Hagström:,https://betalab.kb.se/prot-1939-urtima-fk--14/prot_1939_urtima_fk__14-009.jp2/_view,Fredrik
prot-1939--fk--30,i-YcQM7ahq6GVcapC5FvCZ5L,Per Edvin Sköld,"Sköld i Oxie, Sköld i Kämpinge, Sköld i Toftaröd",Socialdemokraterna,25 maj 1891,Q6180686,,Herr statsrådet Sköld:,https://betalab.kb.se/prot-1939--fk--30/prot_1939__fk__30-056.jp2/_view,Fredrik
prot-1939-urtima-ak--16,i-RULLk71uj75AnKmYeFQyPm,Emil Gustafson,Gustafson i Vimmerby,"lib s, fris, bf",20 December 1887,Q5371267,,Herr Gustafson i Vimmerby:,https://betalab.kb.se/prot-1939-urtima-ak--16/prot_1939_urtima_ak__16-011.jp2/_view,Fredrik
prot-1939--ak--33,i-RYw2rAjwnHW5mLsmzqkgML,Axel Lindqvist,"Lindqvist i Kosta, Lindqvist i Halmstad",Socialdemokraterna,23 October 1878,Q5957397,,Herr Lundqvist:,https://betalab.kb.se/prot-1939--ak--33/prot_1939__ak__33-029.jp2/_view,Fredrik
prot-1940--fk--32,i-YYczNkeiKZDbb9VsjNXwmx,Carl Lindhagen,"Lindhagen i Stockholm, Lindhagen i Äppelviken, Lindhagen i Ålsten","Folkpartiet (1895 — 1899), Liberala sam lingspartiet, Socialdemokraterna, Socialdemokratiska vänsrergruppen",17 December 1860,Q55955,,Herr Lindhagen:,https://betalab.kb.se/prot-1940--fk--32/prot_1940__fk__32-021.jp2/_view,Fredrik
prot-1940--fk--28,i-YYqJZohrfHvAcqc6CeRNhk,Axel Mannerskantz,Mannerskantz i Värnanäs,"Högerpartiet, Lantmanna- och borgarpartiet",3 June 1897,Q5975035,,Herr Mannerskantz:,https://betalab.kb.se/prot-1940--fk--28/prot_1940__fk__28-058.jp2/_view,Fredrik
prot-1940--fk--33,i-YZT187d41PtrtiMDssH7Ap,Karl Magnusson,Magnusson i Skövde,"lmb, h",17 December 1877,Q5972050,,"Herr Magnusson, Karl:",https://betalab.kb.se/prot-1940--fk--33/prot_1940__fk__33-039.jp2/_view,Fredrik
prot-1940--ak--29,i-YY1qVp5nc2Avj2aD6bFFvR,Edvard Thorell,Thorell i Stolp-Ekeby,"lmb, h",17 March 1881,Q6209073,,Herr Thorell:,https://betalab.kb.se/prot-1940--ak--29/prot_1940__ak__29-024.jp2/_view,Fredrik
prot-1940--ak--20,i-YYQ2B7xbgS2FQMoKdynzh2,Ola Jeppsson,"Jeppsson i Mörrum, Jeppsson i Visby","lib s, fris, fp",8 February 1887,Q5882484,"Slightly wrong intro due to merging of margin note and body text. Correct intro should be ""Herr talmannen lämnade på begäran ordet till herr förste vice talmannen Jeppsson, som anförde:""","Herr talmannen lämnade på begäran ordet till herr förste vice talmannen Interpellation. Jeppsson, som anförde:",https://betalab.kb.se/prot-1940--ak--20/prot_1940__ak__20-050.jp2/_view,Fredrik
prot-1940-urtima-ak--21,i-YbA6GATf2xhuyJ4JAU7rd4,Gunnar Falla,Persson i Falla,"Lantmanna- och borgarpartiet, Högerpartiet",22 May 1885,Q5724702,,Herr Persson i Falla:,https://betalab.kb.se/prot-1940-urtima-ak--21/prot_1940_urtima_ak__21-083.jp2/_view,Fredrik
prot-1941--fk--19,i-YV5eEvGwYstFu1kEptLTZv,Axel Roos,Roos i Malmö,fp,4 March 1886,Q6078273,,Herr Roos:,https://betalab.kb.se/prot-1941--fk--19/prot_1941__fk__19-058.jp2/_view,Fredrik
prot-1941-höst-fk--51,i-YWhHiniLQxPKemPQGS1f6W,David Norman,"Norman i Fagersta, Norman i Sollentuna, Norman i Hemmestavik",s,18 July 1887,Q6017122,,Herr Norman:,https://betalab.kb.se/prot-1941-höst-fk--51/prot_1941_höst_fk__51-064.jp2/_view,Fredrik
prot-1941--ak--17,i-YYAwkihMqWcaQRecgoBdKp,Aron Gustafsson,Gustafsson i Lekåsa,bf,25 September 1880,Q4795536,"Partly incorrect intro due to OCR-error/merge of margin and body text. Correct intro shoud be: ""Herr Gustafsson i Lekåsa:""",POger. Herr Gustafsson i Lekåsa:,https://betalab.kb.se/prot-1941--ak--17/prot_1941__ak__17-087.jp2/_view,Fredrik
prot-1941--ak--30,i-YZnLptjhXfgZdyzY4vp8gd,Ragnar Barnekow,Barnekow i Sörbytorp,"lib s, fp",3 January 1877,Q5566043,,Herr Barnekow:,https://betalab.kb.se/prot-1941--ak--30/prot_1941__ak__30-031.jp2/_view,Fredrik
prot-1941-höst-ak--44,i-YbwW7AJfVdNR55YFRb4xwW,Nestor Hammarlund,Hammarlund i Errarp,bf,28 August 1888,Q5786787,,Herr Hammarlund:,https://betalab.kb.se/prot-1941-höst-ak--44/prot_1941_höst_ak__44-058.jp2/_view,Fredrik
prot-1942--fk--24,i-YXS1f3kFMYJ4UPYjq32iHj,Johan Nilsson,Nilsson i Malmö,s,1 April 1874,Q6010685,,"Herr Nilsson, Johan, i Malmö:",https://betalab.kb.se/prot-1942--fk--24/prot_1942__fk__24-131.jp2/_view,Fredrik
prot-1942--fk--13,i-YYJjbuK58XeQaAVQjdtHM9,William Nisser,Nisser i Grycksbo,h ,18 June 1882,Q6012769,,Herr Nisser:,https://betalab.kb.se/prot-1942--fk--13/prot_1942__fk__13-038.jp2/_view,Fredrik
prot-1942--fk--25,i-YaZzKujDDCs5vmkVgcYihi,Allan Holstensson,Holstenson i Alversjö,bf,13 July 1878,Q4730705,,Herr Holstenson:,https://betalab.kb.se/prot-1942--fk--25/prot_1942__fk__25-174.jp2/_view,Fredrik
prot-1942--ak--6,i-YXsNCZ3B6Koyrokvz3eQYR,Karl Emil Hansson,Hansson i Skediga,bf,11 March 1879,Q117221168,"Partly incorrect intro, correct should be (I think): ""Herr Hansson i Skediga, som anförde:""","§ 9. Herr talmannen lämnade på begäran ordet till Herr Hansson i Skediga, som anförde:",https://betalab.kb.se/prot-1942--ak--6/prot_1942__ak__6-006.jp2/_view,Fredrik
prot-1942--ak--26,i-YabHEttn7MMW1ZFTJFmdyU,Waldemar Svensson,Svensson i Ljungskile,fp,26 May 1897,Q6199259,,Herr Svensson i Ljungskile:,https://betalab.kb.se/prot-1942--ak--26/prot_1942__ak__26-141.jp2/_view,Fredrik
prot-1942-höst-ak--28,i-Ybf9RxqgphhzpvrKrGB1fN,Gustaf Pettersson,"Pettersson i Hällbacken, Hellbacken i Hällbacken",s,19 May 1885,Q5798778,From 1945 his name is Gustaf Hellbacken,Herr Pettersson i Hällbacken:,https://betalab.kb.se/prot-1942-höst-ak--28/prot_1942_höst_ak__28-079.jp2/_view,Fredrik
prot-1943--fk--10,i-Yb69xEet86vWvzZq3ZyHGi,Gösta Siljeström,Siljeström i Stockholm,h ,18 December 1887,Q6175985,,Herr Siljeström:,https://betalab.kb.se/prot-1943--fk--10/prot_1943__fk__10-029.jp2/_view,Fredrik
prot-1943--fk--17,i-YbRTEStnEKQqpwEm5b2UJx,Carl Eriksson,Eriksson i Ljusdal,s,15 January 1881,Q5716147,,"Herr Eriksson, Carl Edmund:",https://betalab.kb.se/prot-1943--fk--17/prot_1943__fk__17-024.jp2/_view,Fredrik
prot-1943--fk--17,i-Ybh5LAmKwZ3h6AJCgyPbxn,John Björck,Johan Theodor Björck,"fris, fp",9 November 1881,Q5577424,,Herr Björck:,https://betalab.kb.se/prot-1943--fk--17/prot_1943__fk__17-013.jp2/_view,Fredrik
prot-1943--ak--10,i-XuSZuYz59szW4CtVqeNzQc,Vilhelm Lundstedt,Lundstedt i Uppsala,s,11 September 1882,Q349359,OBS! This links refer to the page before this speaker introduction,Herr Lundstedt erhöll på begäran ordet för kort genmäle och yttrade:,https://betalab.kb.se/prot-1943--ak--10/prot_1943__ak__10-114.jp2/_view,Fredrik
prot-1943-höst-ak--31,i-XueX33EHPTeEEua9RSnhUj,Harald Hallén,"Hallén i Torrskog, Hallén i Arvika",Socialdemokraterna,29 March 1884,Q5784568,,Herr Hallén:,https://betalab.kb.se/prot-1943-höst-ak--31/prot_1943_höst_ak__31-015.jp2/_view,Fredrik
prot-1943-höst-ak--33,i-Xvx1XNzVbdEScq9d1oFYj5,Martin Skoglund,Skoglund i Doverstorp,"lmb, h",2 September 1892,Q6180020,,Herr Skoglund i Doverstorp:,https://betalab.kb.se/prot-1943-höst-ak--33/prot_1943_höst_ak__33-005.jp2/_view,Fredrik
prot-1944--fk--7,i-YW1btRTjvEdKUxCSpkoZt8,Karl Andersson,Andersson i Rixö,s,2 October 1889,Q5555135,,"Herr Andersson, Karl:",https://betalab.kb.se/prot-1944--fk--7/prot_1944__fk__7-033.jp2/_view,Fredrik
prot-1944--fk--18,i-YaJqWWdh89U8ciq8Z7rL3d,Christian Ernst Günther,–,partilös,3 December 1886,Q1777531,"Günter was never MP, only a minister. OCR-error in intro, correct should be: ""Hans excellens ministern för utrikes ärendena herr Günther:""",Hans excellens ministern för utrikes ärendena herr Ginther:,https://betalab.kb.se/prot-1944--fk--18/prot_1944__fk__18-005.jp2/_view,Fredrik
prot-1944--fk--21,i-YanftTSAhBV7mk8nhjd87M,Ruben Wagnsson,"Wagnsson i Oskarshamn, Wagnsson i Kalmar",s,8 September 1891,Q6228533,,Herr Wagnsson:,https://betalab.kb.se/prot-1944--fk--21/prot_1944__fk__21-005.jp2/_view,Fredrik
prot-1944--ak--2,i-WqWbh3t4rbZmxDfAaiqTkT,Allan Vougt,Vougt i Malmö,s,28 April 1895,Q4731015,,Herr Vougt:,https://betalab.kb.se/prot-1944--ak--2/prot_1944__ak__2-025.jp2/_view,Fredrik
prot-1944--ak--2,i-WsTQCzWvcKqrCCZKJfixB8,Torsten Lundell,Lundell i Ebbetorp,"lmb, h",19 May 1889,Q5966411,,Herr Lundell:,https://betalab.kb.se/prot-1944--ak--2/prot_1944__ak__2-134.jp2/_view,Fredrik
prot-1944--ak--24,i-Wske1u1VQwUxiucXQex8Cq,Rolf Edberg,"Edberg i Linköping, Edberg i Göteborg",s,14 March 1912,Q5626921,,Herr Edberg:,https://betalab.kb.se/prot-1944--ak--24/prot_1944__ak__24-097.jp2/_view,Fredrik
prot-1945-höst-fk--41,i-YXgtf4KztmNmgqLDHJudXN,Edgar Sjödahl ,Sjödahl i Göteborg,s,19 January 1887,Q6178299,,Herr Sjödahl:,https://betalab.kb.se/prot-1945-höst-fk--41/prot_1945_höst_fk__41-091.jp2/_view,Fredrik
prot-1945--fk--15,i-YXjEcy7ZgMkzuKeJUKU1qT,Arthur Heiding,Heiding i Stora Tomteby,bf,15 October 1883,Q5797491,,Herr Heiding:,https://betalab.kb.se/prot-1945--fk--15/prot_1945__fk__15-027.jp2/_view,Fredrik
prot-1945-höst-fk--40,i-Yavb5qr5VccM8Y2e87haaz,Erik Lindblom,Lindblom i Falun,fp,20 September 1888,Q5954341,,Herr Lindblom:,https://betalab.kb.se/prot-1945-höst-fk--40/prot_1945_höst_fk__40-053.jp2/_view,Fredrik
prot-1945--ak--31,i-NEKzAH5dEepomtRdbeo7kx,Erik Karlsson,"Karlsson i Stuvsta, Karlsson i Huddinge",k/vpk,1909-04-17 00:00:00,Q5901315,,Herr Karlsson i Stuvsta:,https://betalab.kb.se/prot-1945--ak--31/prot_1945__ak__31-062.jp2/_view,Fredrik
prot-1945-höst-ak--42,i-NFEkwhzAsMM89vGtpLMyVn,Bertil Ohlin,Ohlin i Stockholm,fp,23 April 1899,Q179493,,Herr Ohlin:,https://betalab.kb.se/prot-1945-höst-ak--42/prot_1945_höst_ak__42-076.jp2/_view,Fredrik
prot-1945--ak--9,i-NFgQAixw8gmFZQXBuGGchG,Waldemar Svensson,Svensson i Ljungskile,fp,26 May 1897,Q6199259,,Herr Svensson i Ljungskile:,https://betalab.kb.se/prot-1945--ak--9/prot_1945__ak__9-037.jp2/_view,Fredrik
prot-1946--fk--23,i-Y9YLccCzqQjiTdBkezCMHv,Lars Lindén,"Lindén i Gamleby, Lindén i Vimmerby",s,29 November 1898,Q6149374,,Herr Lindén:,https://betalab.kb.se/prot-1946--fk--23/prot_1946__fk__23-033.jp2/_view,Fredrik
prot-1946-höst-fk--38,i-YAuboSTbcPkjNug6w7cA8W,Johan Bärg,Bärg i Katrineholm,s,14 January 1870,Q5591837,,"Herr Bärg, Johan:",https://betalab.kb.se/prot-1946-höst-fk--38/prot_1946_höst_fk__38-026.jp2/_view,Fredrik
prot-1946--ak--15,i-RbiKXoZ5z8eRJryfSfHeJd,Karl Magnusson,Magnusson i Skövde,"lmb, h",17 December 1877,Q5972050,,Herr förste vice talmannen Magnusson:,https://betalab.kb.se/prot-1946--ak--15/prot_1946__ak__15-039.jp2/_view,Fredrik
prot-1946--ak--26,i-RcKPVGZbsbcrpzrCyWaq8P,Per Albin Hansson,"Hansson i Stockholm, Hansson i Ålsten",s,28 October 1885,Q53660,,Hans excellens herr statsministern Hansson:,https://betalab.kb.se/prot-1946--ak--26/prot_1946__ak__26-012.jp2/_view,Fredrik
prot-1946--ak--11,i-RceX8SZumkJkKzfg5vgaPv,Ernst Staxäng,"Staxäng i Staxäng, Olsson i Staxäng","lmb, h",12 April 1898,Q6187601,,Herr Staxäng:,https://betalab.kb.se/prot-1946--ak--11/prot_1946__ak__11-083.jp2/_view,Fredrik
prot-1947--fk--35,i-YZFt7t5QwxymrWiX2P6QNT,Harald Åkerberg,Åkerberg i Örebro,s,12 October 1883,Q6255057,,Herr andre vice talmannen:,https://betalab.kb.se/prot-1947--fk--35/prot_1947__fk__35-126.jp2/_view,Fredrik
