uuid,who,intro,name,correct,github,year,reason
i-CTXDCvPc1QNWhM18fc2KVo,Q5810894,Herr HOLMBERG (kort genmäle):,HOLMBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1949/prot-1949--ak--11.xml,1949,
i-DdRiLuX3ov4TYRUtsU5v3E,Q5715124,Herr ERICSSON i Sörsjön:,ERICSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950-höst-ak--29.xml,1950,
i-RLToNHSJvPZeqNarfdrwxZ,unknown,Herr WIKLUND i Stockholm:,WIKLUND,0,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--ak--15.xml,1950,unknown
i-Qa7Qn9zXvPaCVJfZE63rQE,Q6026379,Herr OLSSON i Gävle:,OLSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1950/prot-1950--ak--20.xml,1950,
i-LR88ch7ofkbHThdTovTxoC,Q4947005,Fru ERIKSSON i Stockholm:,ERIKSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--ak--2.xml,1951,
i-5qWFfL8157SkQYja3c8X8J,Q6194224,Herr STÅHL (kort genmäle):,STÅHL,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--ak--21.xml,1951,
i-TANapiLvhCmCfbLvaQGVwV,Q6013531,Herr NOLIN:,NOLIN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1951/prot-1951--ak--10.xml,1951,
i-KC7pzQfQn1aoyjKuabo1pk,Q5621600,Herr DICKSON:,DICKSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--17.xml,1952,
i-D8Excv2HqLKioKeY8VvRLE,Q111797206,Herr DAHLGREN:,DAHLGREN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--ak--21.xml,1952,
i-DuKWwVtNDm47xoWttmx1pz,Q5560111,Herr ARRHÉN (kort genmäle):,ARRHÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1952/prot-1952--fk--9.xml,1952,
i-W1LTwZsdvE7KMzQGCrnpqa,Q5889581,Herr JOHNSSON i Kastanjegården (fp):,JOHNSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953--ak--24.xml,1953,
i-M9HfoBG1P1Zcr34pfnYMnq,Q6240050,Herr WIDÉN (fp):,WIDÉN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953--ak--3.xml,1953,
i-GcfVchAKDv8ruN3eedYsYR,Q6017122,Herr NORMAN (s):,NORMAN,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1953/prot-1953--fk--21.xml,1953,
i-BmvhLFjofvJZWkAM4S9AXu,Q6026379,Herr OLSSON i Gävle (s):,OLSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--ak--14.xml,1954,
i-GmdMmkLmoW6YxBCaEemE4b,Q6020901,Herr NÄSGÅRD (bf):,NÄSGÅRD,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--fk--22.xml,1954,
i-BWE5AEeuAT9NUtdicBKM71,Q6042935,"Herr PERSSON, HELMER (k):",HELMER PERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1954/prot-1954--fk--9.xml,1954,
i-LN7xUcUwFVQAK71GVR6kQh,Q6042992,"Chefen för ecklesiastikdepartementet, herr statsrådet PERSSON:",PERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955-höst-ak--26.xml,1955,
i-PG65bAK1bMD2NTDzLPvCLW,Q5786592,Herr HAMMAR (fp):,HAMMAR,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955--ak--17.xml,1955,
i-UDTGhGLbeRNCWAMmSPj6xc,Q6023421,Herr OHLON (fp):,OHLON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1955/prot-1955--fk--18.xml,1955,
i-Bo3WbY95bwLdHq1PXZHH7H,Q5600489,Herr BÖRJESSON (bf) erhöll på begäran ordet och yttrade:,BÖRJESSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--ak--11.xml,1956,
i-L74rYmouc8NFmgBvWKBJhm,Q5555679,Herr ANDERSSON i Malmö (s):,ANDERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--ak--24.xml,1956,
i-MF6cnJxURmL6mu6u88rsqB,Q5715273,"Chefen för socialdepartementet, herr statsrådet ERICSSON:",ERICSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--ak--2.xml,1956,
i-8xWvDNvoxWoSVyPFFe62ep,Q5886385,"Herr JOHANSSON, IVAR, (bf):",IVAR JOHANSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--fk--22.xml,1957,
i-RfcCp4wZLg1N17v34Q355x,Q5965908,Herr LUNDBERG (s):,LUNDBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--11.xml,1957,
i-CXEY5RFCjrt1RSjvekGYHp,Q6023421,Herr OHLON (fp):,OHLON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--fk--16.xml,1957,
i-6aXV1mYXKgJ1a9k4dijGqB,Q6042935,"Herr PERSSON, HELMER, (k) erhöll på begäran ordet och anförde:",HELMER PERSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-a-fk--5.xml,1958,
i-XW6WFbXZQ9C6oiS3umkhhX,Q5967746,Herr LUNDSTRÖM (fp):,LUNDSTRÖM,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-a-fk--16.xml,1958,
i-UbHw1ys3hWbdfTPkVJDNAn,Q5972180,Herr MAGNUSSON i Borås (h):,MAGNUSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1958/prot-1958-b-ak--4.xml,1958,
i-SN2swp2XCNYYKFnx26BTm9,Q6326219,Herr SEHLSTEDT (s):,SEHLSTEDT,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959-höst-ak--32.xml,1959,
i-Xs7EdDuxvGpe2iK324XbkH,Q5938913,"Herr LARSSON, THORSTEN, (cp) erhöll på begäran ordet och anförde:",THORSTEN LARSSON,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959--fk--12.xml,1959,
i-U8omjzo5TKgAhFRXD3ScFe,Q5965908,Herr LUNDBERG (s) kort genmäle:,LUNDBERG,1,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1959/prot-1959-höst-ak--26.xml,1959,
