uuid,who,intro,github,year
i-Q7Yk6YC6dD3D6E86UBXM1K,Q5970011,Herr Lövgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--ak--31.xml,1923
i-UW4o5rotzeLWAcVmqzefcV,unknown,Herr talman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1923/prot-1923--ak--21.xml,1923
i-JWsNmWdZcyPSLwXzFbPupY,Q55955,Herr Lindhagen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--fk--40.xml,1924
i-Mj8heaTNJgs3W9BLLvqEhq,Q5786333,Herr Hamilton:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--ak--31.xml,1924
i-XkgCEyxiKdUk88c23QMeE4,Q5802636,Herr Hermelin:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--ak--24.xml,1924
i-WscUTnzYBNUsDLhobgoZEf,Q5782085,Herr Hage:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--ak--26.xml,1924
i-YQVbgzUjo3BfRMBTL6ZapX,unknown,Herr statsrådet Libeck avlämnade Kungl. Maj:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1924/prot-1924--fk--11.xml,1924
i-zL9s4drUUST3R67326Bm7,Q1511698,Herr von Koch:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--fk--29.xml,1925
i-ANr6ThhJZM9DgmzFN77Awq,Q5946756,Herr Leo:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--ak--18.xml,1925
i-LQSTxE5B1ecFqCksCFQGKh,Q5804665,Herr Heyman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--fk--33.xml,1925
i-MF96u2SvbRZnjCXyXLZ3iM,unknown,Herr Äström:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--fk--35.xml,1925
i-f1RvMTuPtrt76uYEuvCpJ,Q5940620,Herr Laurin:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1925/prot-1925--ak--11.xml,1925
i-7DnMfhr1c9GCQQRETUQaXz,unknown,Herr statsrådet Wigforss avlämnade Kungl. Maj:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--ak--7.xml,1926
i-HnfSmCEJTbDuAiVERefqPW,Q6240025,Herr Widell:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--fk--28.xml,1926
i-BmR7B8ya9aSskN3RGVCXAx,Q6180686,Herr Sköld:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--ak--35.xml,1926
i-U7nNdd7dH4ocRwMEs7hvCq,Q6029940,Herr Osberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--ak--36.xml,1926
i-SNgMKLSQfmJVey5vBoE59B,Q6037794,Herr Paulsen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1926/prot-1926--ak--43.xml,1926
i-8JJ2LTZXum8goVaaj6D1h5,Q5811441,Herr Holmgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--39.xml,1927
i-AwmjnccXNWfVvTs6ueX2DD,Q6086540,Herr Anderson i Råstock:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--21.xml,1927
i-P24hA946z6uiWk5wmmBMgs,Q5614917,"Herr Dahl, Adolf:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--fk--15.xml,1927
i-HH7mkb6R7p7eUqDWYxwchi,Q5879850,Herr Jansson i Falun:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--22.xml,1927
i-YV7XqNzk5xqjEj7qFfqpfB,Q6201579,Herr Söderberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1927/prot-1927--ak--36.xml,1927
i-Mbisz8amZzrXPk7vaZQqoh,Q5570145,Herr Bengtsson i Kullen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--ak--20.xml,1928
i-HCKp4U4JbgR13ukAfTrNYH,Q5968584,Herr statsrådet Lyberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--fk--34.xml,1928
i-8Tf94BXJRTpwDgzmS9DuVZ,Q5811523,Herr Holmgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--fk--28.xml,1928
i-7UVDo1DPhKwFuNgg9wuHj8,Q55955,Herr Lindhagen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--fk--12.xml,1928
i-Na1hicbvsqvTkHbm3qffqn,Q19975949,"Herr Ekman, Karl Johan:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1928/prot-1928--fk--37.xml,1928
i-TBCzhdf1aGTEndDRFFyybe,Q5711655,Herr Engberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--ak--9.xml,1929
i-XhJVeoeD3WrAeLBsSsmMay,Q6195378,Herr Sundberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--fk--32.xml,1929
i-UugRpCMqvYFNnCakAphrMT,Q5573026,Herr Bergqvist:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--fk--20.xml,1929
i-LLMCSHgBohUTfeB2bB14eE,Q6306988,Herr statsrådet Lindskog:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--fk--21.xml,1929
i-LZDX5VcPUY6vHj89Amjx93,Q6201372,Herr Sävström:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1929/prot-1929--ak--15.xml,1929
i-3wxLZFXwSvd2UXstP9GTkC,Q5573026,Herr Bergqvist:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--fk--18.xml,1930
i-4k4nqbrh1dj1rpW8yV1k2H,Q4953847,Fröken Hesselgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--fk--9.xml,1930
i-5Y9vnYqSexgHZGFWG7MUzh,Q53701,Herr Pehrsson i Bramstorp:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--ak--33.xml,1930
i-ETiucGeCRe2iKP9WTpKkcW,Q5577378,Herr Björck i Kristianstad:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--ak--21.xml,1930
i-Mtm2Y3dTq3kXxfJPjrxqHQ,Q5957397,Herr Lindqvist i Halmstad:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1930/prot-1930--ak--21.xml,1930
i-Lc6wDddK2z5vCi9uxBUALs,Q53294,Herr Lindman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--ak--36.xml,1931
i-Sie44i2FypkV1GvBBworpc,Q5796156,Herr Hedlund i Östersund:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--ak--40.xml,1931
i-AYjypRqYwogmnpoAyMPgs7,unknown,Herr andre vice talmannen Bengtsson:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--ak--23.xml,1931
i-G17EtZ7mkhfc8GM4Td8SdM,Q5341366,Herr Johanson i Stockholm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--ak--23.xml,1931
i-VrjnpGNDKipourJsqF7Jyc,Q6257830,Herr Östergren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1931/prot-1931--fk--34.xml,1931
i-MtZULt1cytqxZrDYJrmz6r,Q6010685,"Herr Nilsson, Johan, i Malmö:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--fk--19.xml,1932
i-9V1TqKkVd829DY6pV1uoe3,Q5716335,Herr Eriksson i Stockholm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--ak--23.xml,1932
i-KaCtKAzMn4pByZG2yFPkgq,Q1347810,Herr Kilbom:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--ak--30.xml,1932
i-5BtSUXiuhoharygrLggH4h,Q6068957,Herr Reuterskiöld:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--fk--37.xml,1932
i-42FYsp6Dix5PcxdygKRNDo,Q5716335,Herr Eriksson i Stockholm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1932/prot-1932--ak--23.xml,1932
i-LKEt9uBWmAXR3DotVzQZff,Q55955,Herr Lindhagen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--33.xml,1933
i-3Zm7HWmzLBoo3npXkEGkJu,Q6086540,"Herr Anderson i Råstock, som yttrade:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--ak--22.xml,1933
i-4Qs3iNbkKnzLswAsnrHMPE,Q5577444,"Herr Björck, Wilhelm:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--26.xml,1933
i-EP3t2x3NgmPFHUsbkDLX6Q,unknown,Herr talmannen yttrade:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--18.xml,1933
i-MLPDAyivULGReXvTL6mkpz,Q5928394,Herr Källman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1933/prot-1933--fk--39.xml,1933
i-XeqsNoFv6cpT8aCCgCo5u6,Q5553493,Herr Anderson i Norrköping:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--20.xml,1934
i-B15aDzUD3cJpPRZUT8p5Ya,Q6093334,Herr Sandström:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--40.xml,1934
i-AYzNgDy8VsXZ4UqpRfh4en,Q5882484,Herr Jeppsson:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--32.xml,1934
i-CBVG7ixeYDzMqn63kb1AdS,Q5577862,Herr Björkman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--fk--16.xml,1934
i-QfEXwps4iv7tPVqzYYkhHf,Q1347810,Herr Kilbom:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1934/prot-1934--ak--19.xml,1934
i-Bk869g2wAsygk6UfgcRvWZ,Q5985831,Herr Meyerhöffer:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--ak--42.xml,1935
i-DB67NXpF8WbQmZDVpHPXuN,Q6068957,Herr Reuterskiöld:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--fk--38.xml,1935
i-PwpUBJ6fxG4drqTDCRFx2N,unknown,Herr andre vice talmannen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--fk--34.xml,1935
i-CihidKr7PKujcZDbD2Wk92,Q5582292,Herr Borell:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--fk--24.xml,1935
i-XwKPngSUiPka2DDcQ9ESwK,unknown,Herr Gardell i Gahns:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1935/prot-1935--ak--26.xml,1935
i-D3Q95Nevvs85tNMP5EnZ4X,Q4353489,Herr Westman:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--fk--26.xml,1936
i-3CSAfPdZ18Vc4SAmLRSSX2,Q6158007,Herr Olsson i Närlinge:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--ak--48.xml,1936
i-VxTdR6fL32Y7hxDpE48Eq6,Q6086540,Herr Anderson i Råstock:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--ak--10.xml,1936
i-8W7jDrkRi4xiK4duTvseZy,Q5811441,Herr Holmgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--ak--37.xml,1936
i-Lb8Au5wddXtJdvfkoZBWjQ,Q5957167,Herr Lindmark:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1936/prot-1936--ak--31.xml,1936
i-5GaDFebFoxL9y2UPtursEG,Q6223367,Herr Velander:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--fk--37.xml,1937
i-Ru3L3UgsRj9BPuzPC5bc8N,Q6009329,Herr Nilson i Eskilstuna:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--23.xml,1937
i-SqQadn7Jur9uehuTsXdhYj,Q5757569,Herr Gezelius:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--34.xml,1937
i-LFDP9BrvHWPPzK3wSScMMN,Q5966411,Herr Lundell:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--35.xml,1937
i-91c3ynrj6nYCQ4rJXr7Qxk,Q5966042,Herr Lundberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1937/prot-1937--ak--34.xml,1937
i-N33CVQDVaM7goEL9PP4sjJ,Q55955,Herr Lindhagen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--fk--20.xml,1938
i-Q8tS3UoHq96rz5LjfZpVbm,Q5371267,"Herr Gustafson i Vimmerby. erhöll nu ordet för kort genmäle och
            anförde:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--ak--39.xml,1938
i-CyiizN5vWqbBEzbWLWsXqF,Q6037657,Herr Pauli:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--fk--34.xml,1938
i-PagxHWMypDqPgLgLnqZe7W,Q5711655,Herr statsrådet Engberg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--fk--37.xml,1938
i-3TqdWMEuESGka9fK5wj3xW,Q5726007,Herr Fast:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1938/prot-1938--ak--31.xml,1938
i-3Zr7rn9q6ohFE656WXo1zq,Q6037794,Herr Paulsen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939--ak--38.xml,1939
i-7ZE4FysLHrWLiRusQu3HZb,Q1145662,"Chefen för finansdepartementet, herr statsrådet Wigforss:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939-urtima-ak--9.xml,1939
i-Mmz5uzEFaVBhTckD1qiotQ,Q6026379,Herr Olsson i Gävle:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939-urtima-ak--13.xml,1939
i-5JzkV8nt2Cte6KZDBz672a,unknown,"Ordet lämnades på begäran till Sve 8 cd inte; tion. Hans excellens
            herr statsministern Hansson som anförde:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939--ak--27.xml,1939
i-715fMjHg27Sbmb8rQrb6NT,Q6011353,Herr Nilsson i Antnäs:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1939/prot-1939--ak--14.xml,1939
i-4WcF79qm55me5eMc8ycNy2,Q5946756,Herr Leo:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940--ak--37.xml,1940
i-9XsjMg8dHMezCs6XmMmqzf,Q5716548,"Chefen för folkhushållningsdepartementet, herr statsrådet Eriksson:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940-urtima-ak--14.xml,1940
i-CMTwxbiWqhpoL4C1woaFNj,Q5879850,Herr Jansson i Falun:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940--ak--22.xml,1940
i-NjYqW8JzCNidYe1k2P6gfC,unknown,"Herr talmannen lämnade på begäran ordet till herr Henriksson,
            som anförde:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940--ak--20.xml,1940
i-N5cZ8DJSbca4CvmpWQ3usf,Q6318945,Herr Pettersson i Hällbacken:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1940/prot-1940-urtima-ak--13.xml,1940
i-9UST9pYxiz9tgQ1DpUrY4L,Q5371267,Herr Gustafson i Vimmerby:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--33.xml,1941
i-Dt5AihjYJLwiDnBCv1piYN,Q5927887,Herr Kyling:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--41.xml,1941
i-VCJ8LDMccw4WFnx28FPjjS,Q5716335,Herr Eriksson i Stockholm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--35.xml,1941
i-EmiJSt5TdMDxNze2aeet91,Q1145662,Herr statsrådet Wigforss avlämnade Kungl. Maj:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--ak--9.xml,1941
i-GuYu21AhygpKwpXrmMXWgn,Q6020985,Herr Näslund:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1941/prot-1941--fk--31.xml,1941
i-NMnHVrBNXt9aeYvAYmdSF3,Q1797996,Herr Herlitz:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--fk--25.xml,1942
i-Bzg7GTGyxJhqbfpo4sLzpP,Q5778234,Herr Gustavson:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--fk--25.xml,1942
i-VcdRxfaAA6yBb5nNy3PezR,Q1797996,Herr Herlitz:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--fk--23.xml,1942
i-4aLzLsvHKE8tfakwZVBgHs,Q5621108,Herr Holm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--ak--27.xml,1942
i-PgDXqiqz9RndhhPTYby7iS,Q4731015,Herr Vougt:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1942/prot-1942--ak--20.xml,1942
i-WtuMmNUDTEML4QnqFdDgPf,Q940865,Herr Linderot:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--fk--9.xml,1943
i-JWqax7ouhz9ubaAxd6Cdee,Q4570928,Herr statsrådet Möller:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--fk--18.xml,1943
i-QcXqxVLXYsznC4ZocR2Qg9,Q5969615,Herr Löfvander:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--fk--7.xml,1943
i-5cYjfKC6UzFs9M1j1fSEKw,unknown,"Herr förste vice talmannen Magnusson erhöll på begäran ordet
            för kort genmäle och anförde:",https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--ak--6.xml,1943
i-SyrDzVVXc8LHcop8Kstui9,Q5820402,Herr Håstad:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1943/prot-1943--ak--23.xml,1943
i-3BGU4KLgQketAjNeZRxtMv,Q4953847,Fröken Hesselgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944--ak--12.xml,1944
i-55wMVQiF1Lu3urUcUdEMsG,unknown,Herr förste vice talmannen:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944-höst-fk--32.xml,1944
i-EvtAmgmz6Mu1SvXuso5TYy,Q1777531,Hans excellens herr ministern för utrikes ärendena Ginther:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944-höst-ak--34.xml,1944
i-QNEZ2sSZXAGbGyqVfXiYnM,Q6151901,Herr Malmborg:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944-höst-ak--34.xml,1944
i-92s7HouJaVi8Dvb7GmpKwZ,Q1253889,Herr Ström erhöll på begäran ordet och anförde:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1944/prot-1944-höst-fk--34.xml,1944
i-REC2fi2DUKyDEQqYfpzkzS,Q5578351,Herr Björnsson:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945-höst-fk--41.xml,1945
i-YPUBhXnoHw3BCNb4BFG3bP,Q6042992,Herr Persson i Stockholm:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945--ak--22.xml,1945
i-JGmz52wnRQepnhofvbpkZy,Q6238601,Herr Wetter:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945-höst-fk--37.xml,1945
i-HZ43aJmwePy6UceofAnTNq,Q5812181,Herr Holmström:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945--ak--18.xml,1945
i-3GhisuhcY83tzRFL5eh1eA,unknown,Herr Kempe:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1945/prot-1945--ak--21.xml,1945
i-7fKnxduX4wM6NkMBDZewy7,Q5781896,Herr Hagberg i Malmö:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--ak--21.xml,1946
i-6DEnDs8UaQyWW3pWeieQs7,Q5554662,Herr Andersson i Löbbo:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--ak--23.xml,1946
i-Y5zaipqhxXKh1naTgCouHS,Q6172705,Herr Senander:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--ak--29.xml,1946
i-CTV5Vzqaa2WrH1UX1U1xXf,Q5819523,Herr Hällgren:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--ak--24.xml,1946
i-MTpY4quedR6SMLovRizYVx,Q5782085,Herr Hage:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1946/prot-1946--fk--25.xml,1946
i-JCA771mzqw89JEZM7Yrvc,Q6198588,Herr Svensson i Grönvik:,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1947/prot-1947--ak--13.xml,1947
