swerik_id,wiki_id
i-KtBJxJTsknBxjfYvZybGqj,Q105046846
i-PL9foi7u1XAv2BD9jUwAWg,Q105046913
i-DtUBL4PhS8MGp9QnAiAJc7,Q105046955
i-FMF8HQuCkg6coFTxRQFae3,Q105062126
i-6nnq6i6hYmHD6etGxdm9Wy,Q105063875
i-C1fZBCKUGy1gZCDs8Cfrc6,Q105065199
i-78qJKK1mayw2kRfm6StDVV,Q105066959
i-YWq3i8pzd2ek446XvasGri,Q105067206
i-7N9FrSsejFdgtBz9LsadDe,Q105072405
i-LvjhuKYbMmHcis45oX7W1G,Q105072927
i-5u9D97HkMoFCMxfWkAsxz3,Q105086267
i-Wt1hk6ZngbTgyJCGcHAvrf,Q105086918
i-BrjASYwo9T62jMPhtH59Zh,Q105097094
i-7UsBEyMpFeJWgxAYKRQiVz,Q105098800
i-GmVk7Pj9JRW6GYkwiSkryS,Q105104304
i-2VJazsFcETvv2ViUi5KBHJ,Q105105468
i-KG3rFkQMhAaivps4bxsdN6,Q105114671
i-9wF1b38LpGCCCg2P4b8nS1,Q105115301
i-SzGpydBwUGiTw3GWcPrafZ,Q105162147
i-3DCxazQKgys5aVEbkoNgyR,Q105162968
i-62dMvJyvF5SY1VwxM1mokE,Q105163872
i-MmmeadtFjSdRUyPkMZX2Xo,Q105200990
i-Ev2bAyMrQ6WFtkDbPD2E9z,Q105371172
i-DMfacrypLeyVdkQkWWN8F4,Q10540434
i-XSnuDBHTtWXrXVybtzD9Qx,Q105414501
i-8LJVWsrLxj2JJda6Pj67gs,Q105604453
i-PjV5Vqo4cAe2QPui6MKgGm,Q105675478
i-HqYF5EJZmVtB1uhgi1UT96,Q105679831
i-C3g8qo8CaLkaffDmgmdDBY,Q105714624
i-T8Rg3jWpwbaD2AL9KBwWw3,Q10575345
i-XNhzoo8e4qc1cM8U6t4ep8,Q10578332
i-MeFCbDpKPnR5B8CQwp68xh,Q105928301
i-NtHFSRzQp57LWBaPAdpLPR,Q106349346
i-QK1WZxNsuG22i18C6LGyZq,Q106350110
i-SysvMFbvkEhmXkBp2SQyKp,Q106350428
i-JuX7y2SthgRtcLd223USxD,Q106559819
i-C8AtWSyu9UUdjr3d1wvyNs,Q106560063
i-MiczxjfgYvit6y2gXXcUZd,Q106582866
i-MR5nEFZEYYC856HM8uwmGL,Q106602523
i-2BomLucSUhUFGdLZdLWiCx,Q106625850
i-5BAuoreWuHEDmfStAQQoco,Q10667542
i-JBVSfKE7t4J1BPobU1RX2o,Q10678024
i-DhKcHWipWA2w7meLAwkbAA,Q106783058
i-Sd7FDtWJYrvkDTQPMyAyS,Q106785041
i-U1y3evwTTrkjYao8Gey5r6,Q106862214
i-HDUKWMEPpUMUK3MxQXxnpZ,Q106862781
i-9SqyWHQCE2TQTMebB2Em3P,Q10720409
i-6yui9XVQ1pQ2iQUn1YQhom,Q107364088
i-MwYUykigjM7wMSKMB4PTP7,Q107364890
i-Qc7Lq2YYet5P7L5vhHiC2K,Q107364915
i-MsDcNy8xgNwkrzcAPLvtsA,Q107378685
i-3p872RqbGTybi4KXxUzDSo,Q107389974
i-8tybgmERR4BQLDYZ1Bgnm9,Q107395700
i-L7jHcteMMoWakzuR5vkPeP,Q107413452
i-GQsM6A57gu76kXrUXejTNb,Q107419934
i-9YvP6nuaPe1iEBtBxdhhWi,Q107420069
i-LDPXw5SQr3f7FNNWYq86wJ,Q107485113
i-Up1YbZAD1m2spR51D47co6,Q107639258
i-3N8PrwPitEAyTqU29LRaim,Q108059200
i-AyLtPYUtfuc83nLoJEwQj4,Q108219916
i-X24CbizesfxM3nuznxPzAc,Q108420017
i-LWXeJPQ2MpxrTu8AJ6h5JK,Q108525852
i-6QRZCXV1gpE5LaD6mKZ5GR,Q108525972
i-XLHgMviLWvZePVW618wm98,Q108598507
i-Lsama5JTvdn261QAH3LWnS,Q108713160
i-C3pbJfgMjJipDqWLJcuDvz,Q108765984
i-AC9Jzb7rGfAoZhrWbv9Veg,Q108986522
i-D2BSEzHjiKvYCd8UmLJW4F,Q109352589
i-TP9DL4gGfy5TRGpk5c91g5,Q109500713
i-DdXWx7Nj5d7XYS8hEPL4Ro,Q109500985
i-JACQZPuwLjBPYAxhYUVNEd,Q109501708
i-GxMiFHDpF85hpJgrkap3bS,Q109747746
i-EDao2Bn1aKSyrw9vFDbxpE,Q109828321
i-XBxAbUXD6Qpc9KmdA853AP,Q109830262
i-UJzgRSAzJy5gFUvqpeS8af,Q109882267
i-RkfdbGDcbnSRE47SduhSYG,Q109928721
i-TrbyrYRFEtiK91fw1RRBRW,Q109937599
i-RbtSoUitf1N6bnxzVaQ3Yu,Q109942678
i-TtDNMwJmsoWwQw6nZYWkLc,Q109943335
i-7wqx4soaZg9KrFtEwMrTis,Q109943905
i-y2eNwNFWfFBQ9YmPuab6e,Q109969433
i-Rxa5TPjMBxaWxXdk3wbctW,Q109971639
i-8PNfvDfYzAiJnAcuKMUBvy,Q109971901
i-27g3f2ySACnQtgfDwBTkDs,Q110034198
i-AjqE7JdXtdUoEcWCcLuYLG,Q110056640
i-KnuCtpPGRtWgqXUcSy1G3A,Q110057464
i-TaWvRtkjoxfukkGjACaCsY,Q110070382
i-3o32ZJhmfP3Noe84n3fadn,Q110070765
i-754rttyqytrA6fe8P1kNFP,Q110089098
i-VbXecEYSco6RcERW6PCcbP,Q110096942
i-RdtwPwmDryD4dZ2sTKd25K,Q110129747
i-X982PMBvCx7RnTdjatyHBH,Q110278693
i-V9fAuVT5MgHSrH4XvinFXL,Q110278976
i-HVhaNEtXJXmmASotZiesG5,Q110279970
i-AWLNBm49upAvWc2G2jYeiD,Q110321926
i-D2K9Zxad4hQHpZ82uBcBqg,Q110401403
i-LvxhV2hEp19eoVYqVm1KL6,Q110426890
i-NTo46aEAeCUp4wSLczy4Dd,Q110436560
i-oYuqYjo8tNrGqVFyzz3Ep,Q110436946
i-SRJgVxhr9nFj9gAS7cdhbj,Q110439181
i-NSwU5FAq5WTyjfKcM5YMe,Q110440831
i-6T6ooPkmsuHqmxXqUw3Rxq,Q110440981
i-G3LJegyEUATYSx1EYywRfd,Q110442451
i-R7xvpipqB8Hc2m24jeTVyQ,Q110467944
i-EvfrJDfNX48Xm79gzDBSsB,Q110528102
i-CfaW8X7Nnsttq21KhW52MH,Q110530109
i-DNeLvjYn7kX5YstpJdB4h5,Q110540198
i-2yc9m3kiBMJuGQ8cRJzAWw,Q110541107
i-Vd6kBCxYFZMdnMn56ixMd4,Q110544246
i-Yc8EiMXk97GxiiFsfV5tQt,Q110607272
i-XZz1jQQH9xhGkKqAmy5px3,Q110611538
i-AQM8mzde8ixYG8gZEV93F4,Q110617192
i-NzZ2Ac6u7JyPToGuko7BuS,Q110617328
i-UKeq6sadnYjRiFDYtsxLLW,Q110620158
i-F9ewtPwkU2RmcUUoQ6XRXa,Q110621758
i-VzvxsE3P19Hvn4eXo7FDph,Q110623938
i-ViJ12QcECKp5J4sEBkw5a2,Q110635584
i-4Wq9YLSiAZTMFYiYA7MnR9,Q110642946
i-UAXjqY4e5qZHij5yLfdnMh,Q110651954
i-Lr4VmeTHmBWhvNvNsyVT3r,Q110654970
i-GAMxNriJFxoi8diZPM78s6,Q110656367
i-K9n68dBnLCt3xWtXN75tzY,Q110765107
i-5kbYDATVZmFtpQgkvh7TQt,Q110776549
i-AkuwGcT8kWAThsQcz1BS1e,Q110793990
i-2dwC5U2RuvHwfhzcwB91oo,Q110793999
i-SmpfCkPSfSW5WkFVc9ZfNH,Q110811413
i-QspcF1D4Yk64p7fTvD7ekx,Q110872788
i-81nJZ9adiSkpQWjb3dwe3v,Q110877099
i-B8y96mdDcSM76tgEwwEPsz,Q110877303
i-2Mga29XFzf3fN7ZpqSSPDr,Q110877467
i-5GK4H1j9rrxtR4J8CTxEKx,Q110909540
i-JG9LpccgwGQ9LXpFETwuWh,Q110964594
i-1xpn4vGAnPTUV3FuyR27z,Q110986185
i-WawMHzJoPkRr1QFEsF3nFQ,Q110987813
i-Nrcr4pASLC3oMH343ZCQcV,Q111043917
i-PW7wDZSF49parkwQxjWKeN,Q111133690
i-HsozqwVS7coNRbJC75AikC,Q111135069
i-F6cbUKxaDsHRKogUdrL9Vr,Q111142109
i-VERe5A9b1TFJrDcWXgFBCj,Q111311453
i-WwbKzXb3rxgk1GSCLbKfGv,Q111341522
i-J1dwBvvYtX1oavBKDBxXch,Q111342604
i-5wD8EdZ4sLvqB5vyke4mP6,Q111353500
i-S5b1F55J4cZQfRYmvdgJPs,Q111353557
i-ETEkSVpR9UzmnQi4tLS2zA,Q111356417
i-ANAEMQsmJiYPJ3EqincHey,Q111369618
i-D3YRCFLkUTakYBacGs93SC,Q111371044
i-9idAyFKDmaYR8KCqbRYowd,Q111371219
i-TrKVNd3hzoj23WRsWUBdzy,Q111372255
i-3DWSnpybmuEV7TrhwjK4Sm,Q111378200
i-7JtvJZTLGCNmexuwkZ8o93,Q111380003
i-GL3JTttgTxq2EV1j2intyf,Q111438695
i-N9nLJpQ9eHQNFu593JtF3,Q111440067
i-5j5P5qVfgLM7nuLPKKTwTE,Q111448420
i-8fxf9AH1EPkLcr1KXLyP6o,Q111450565
i-2VaWfDfYCxUNRSZbTF7vcy,Q111462343
i-Hpb6fUmHKN5zhjt8QwPwaM,Q111488695
i-31zN39xumu2faEuBMxwB3B,Q111493015
i-CArzepfsAJyeAEb6ZwQ2sy,Q111493137
i-N5YkLzCrZQG9BDuRnb7biZ,Q111493181
i-UnNSATNMZzocKpwqSbyLL9,Q111543297
i-EK6Ekrx6gXjweeFGx5Siz,Q111551656
i-9YHBfyjymitTPr4vy99fRs,Q111592730
i-JZ5iPMkMe6sm73EKDXdNWU,Q111602939
i-2iv2nn2jyQ2zuGPcP4w62p,Q111610510
i-K9S9BveqUzcHaccHcxektG,Q111631886
i-WtGqPEB6HFcwThC62uUkYN,Q111633012
i-DX1CPUDypMGHkS1bH65PfG,Q111633477
i-Fhk3PyhUu1U7pERFL41uYn,Q111645980
i-Nx7tJo5sSnFH8Zn6RCKVmm,Q111647422
i-WmHF7E9mhedttkdSdpuyJb,Q111648829
i-En3CE6QoStF8T5JvdqYiDW,Q111655286
i-4kU5YzjqnQadjquDxvadgY,Q111655821
i-5NNnxLi1LYz6JMeJfggjhM,Q111658849
i-B23GjshyfGkPGKgYN7xpVQ,Q111659395
i-8926PWBczZCP1mfTq1Xj7j,Q111660706
i-TQpKzRtTSVD5vxcwQhuewR,Q111664215
i-4QfyCDnkQC2ymGgn7VCEBm,Q111665128
i-KEdq6yVXrLdahHdSbVheQv,Q111665305
i-Kt5jXNgPHrNXaZpEyBixrL,Q111665806
i-TEXdMFr5R5hvaQAhJoGaid,Q111665825
i-KH95N7MQWjJmhPFwfuwd9L,Q111665991
i-SALGmqBpqCfRnNe51fhQg,Q111667664
i-NQX3X3edpeqDbQG4eYhZLk,Q111668422
i-Eebhs7hcsBzFVpf2qd3NeW,Q111672359
i-WtyFGwYzR93sLjMdhFD6qZ,Q111672483
i-J5MB5NGKmeLBE8vxTX95ug,Q111678652
i-GhQReVwv9ZB6vkKJp4vXH2,Q111692389
i-RpQdmfcZBYyiMZdCdTYrto,Q111692454
i-Ffeyu3W1u9rCYut1yN4GxR,Q111696386
i-9YdjuCLZM3rAee4wYQN5wp,Q111701888
i-2ajxL1uZzxQsvJXngW96hD,Q111709613
i-GK4vDqJ8FmihhqPyBuLgWs,Q111721267
i-RtNqcAJAow1PenLbSx2ofB,Q111722133
i-SZzXscFnNwKdCaVKm1W5au,Q111722285
i-LgTbwEgY9QEgaWJtG8yc7G,Q111722319
i-VENfM3q4bHioaeyrNfV9F4,Q111722516
i-A8LJ4FrqJ35S8tKsgfukzY,Q111745575
i-C7UubUEibHL8dkQPBcYG1M,Q111745711
i-CkeNQcvMptDHBoMgPq2bfa,Q111748866
i-6HcN2Xpkh4VyUKdNEBeDYf,Q111792528
i-YFciZfLqJSJXGKuTo1Jdbw,Q111793135
i-GpXkEt2ecEVcnzCeKdhmaZ,Q111795764
i-GHbfNbfakc6VkKiTN2aC3c,Q111795971
i-Hq12Y8GxxYHFvhmxNi8UxR,Q111796971
i-8gzBExXmQ6zL4aUsbZEEE8,Q111797206
i-KYXivvcBdXYFvocfPhZ1MH,Q111802611
i-98YmR9vAxCy513DNUvVDH5,Q111802667
i-VacBUiqCgNFdBxDjAQggNV,Q111804160
i-FXrhyHf2ZVdxnRyHs6A8Zn,Q111805044
i-VrWi7C8rFyQBe6dEMsPdso,Q111817832
i-Wa6tXQoYPHW3BFdTF6DyUu,Q111844383
i-EW22J8NsmjzxgXApBF1vYu,Q111866181
i-Urn3dDSQ84XbgH2ZTS3jgv,Q111866962
i-EBumKGJYNTwywfCXk5HpcS,Q111916168
i-N2madsDSJqjZTCevBNKUwb,Q111978155
i-KesDa4cp7fM38iQBxcvHbz,Q111985458
i-T3xpbCDaT4vV9rmWsrv9n9,Q112030392
i-9csSHEDuiLf5skfsfkp1Ub,Q112042026
i-PHy3aVeqQ1j2XRnLWUQJrS,Q112042402
i-8xJdTZwSqZSytpZc9s1P2M,Q112042467
i-R2JnobZaQtDbpbYZc3mDSb,Q112049450
i-546v5KE6tdv62FjUQAxwTc,Q112075255
i-GrBj5WE82qidqZC8eR9wPi,Q112132365
i-9NzPe84PpTkZS9PGFEPbNv,Q112134174
i-2JdXPhk44YiYbhvGr8jwcF,Q112134216
i-Ugyyk5F5ZmyFpPrA8GW8Nt,Q112134534
i-U5pMcGxFvHJ3XJFgnzRtUo,Q112149705
i-SXw2FR2F4NZuNEqyvQ6cip,Q112150957
i-5TNZqxPati7tPfuQnechMe,Q112155885
i-4GdxD2UNLA9VkkoRTZavSn,Q112318519
i-7x3nPBLpeHFQLKxv7KF7Sf,Q112573502
i-Uj22QnkjXuuZW9QBjQV6YN,Q112589711
i-M2NEeiwb2cPW569XKtNtiS,Q112970856
i-GuvDeCVT1CJsHU3Sa3Wa2M,Q113444953
i-8BanZgdur7prisxCh3DA8N,Q113457547
i-Nq3xSZmtPGFrr9syY6htFY,Q113461577
i-SWJsb6nFW5PbETUc9Y6Hur,Q113468854
i-QwKpq6EUg2KZiwbz7wtfdC,Q113533458
i-2S2fPHZMJYmFcnSzsAVSv8,Q113727391
i-HpAiPdAaT8ibF3ZUVvyDdX,Q113847323
i-J1tJpqpPo8bCRMbSLDrKGF,Q113864862
i-6S4YAEfWFMh8N2aGbGEoFB,Q113945878
i-PLrognpUof5bMmYtFYHNd1,Q113946032
i-GJ5SBUW2RpibxnXtaNZsfD,Q113949596
i-HEv6de5edZnUutAL5FAKFt,Q114029317
i-VSbEG19CEMJ1aVwTdmw9Jp,Q114030385
i-7V9vqHzoT9Sjbhc5KuN4nf,Q114030387
i-P5ebaA4LxLzZVfc4JTiomh,Q114031212
i-Hn2xAAaqgQLyS3k5RBuXkb,Q114031213
i-MT2VMMk5UMmeqecXJd66y9,Q114031215
i-EE6FRts3Vi6U8EPsiGPPgm,Q114031216
i-4ZkLHMg6vPcEX3Frt3eS97,Q114031217
i-PQe8EhNJDXHurGqmN1U5hD,Q114031218
i-KmjjRuCw2jtXhxJg7fhgXE,Q114031219
i-KzsTMncnr5hiy4Se56WPv6,Q114031222
i-CtdRwcAzh5Qsduz6RJeCot,Q114031224
i-LrkXNcFBVfXiSbvUKrLKgH,Q114031225
i-Vk3BD1VwPAAm9tVnGHJL8B,Q114031228
i-PAqLvMEztoGTfwmdBGUfyR,Q114031230
i-7c9yobpTGWiswE4TvFNHr9,Q114031231
i-ThVPmg6PwxL4WvXey5u76X,Q114031232
i-4QgJk2KLdj426CZACRgwdW,Q114031233
i-JiaWoNwSt3vVH4PjxT2cJd,Q114031234
i-3wnNuoLdB9222NoKzF35Rf,Q114031236
i-HaBKPQ5yfZK6LYjmYU1tZy,Q114031237
i-4ErtPGE2JCcmxTTRSCmQh8,Q114031238
i-2HFQhchqUWZTJKFYz4PjBu,Q114031240
i-KGMyxbz9qWim28W7Po1nnR,Q114031241
i-NSfbkqtwSA3EJMSbeYA7nA,Q114031243
i-DNNiNSDxQTnBcHkT2viXX4,Q114031244
i-PYk1FHT5xHTWNczRYuGRJg,Q114031247
i-Jp2SVaPsoe1zxx7gTHC64g,Q114031248
i-2ugyM6pSMg5iuEaP9k2J9q,Q114031249
i-DfQCZENTNqZdmhKQNP4e5m,Q114031250
i-JPGVjXRUn351VFoQqW2dy7,Q114031254
i-S9N4wWD2qfoGM8u1D3QrvL,Q114031255
i-ME9KY5TsTMUGSHJP1KEsna,Q114031256
i-KxpSRorEnVh3Hp6vtdRCWL,Q114031259
i-U8W4uUAKEoMtNdRs3JJRK8,Q114031261
i-TtRdTWTGZX1yMjrAtYnz3m,Q114031262
i-Rkuvz2uZsGGCtRXDRZK2YV,Q114031263
i-SHwqJX3QmUDS4ynvAk16a,Q114031264
i-TpcaF4RFviyytGA8rW5Jer,Q114031265
i-WEoMGT8dJNxw1Jyo3WZNCW,Q114031267
i-Qt6pwvn1sVJnYGf8JhmzmR,Q114031268
i-QrNvzg6SGj92wj2YY77ZNA,Q114031270
i-UuKJN7fZXBu5NKa5fQ33eT,Q114031271
i-ALSqZDERrTV2VUJqcfC5VF,Q114031273
i-3sWANYcrP4dzCBqkXqrJRu,Q114031274
i-KEdbEqnuPwBPiBdxQypKw7,Q114133361
i-PFfhQqDgW5cUmvLUuZEh1g,Q114141183
i-VWNpzrvEzWm92WP5FsMS7k,Q114198430
i-M4NCL6nCaYZmG4SSFNZWNc,Q114239740
i-15XKZT3hRjksEvtHa8x3vk,Q114239865
i-SKsrTm4gWQzab9KkjqBLKS,Q114239963
i-67S868C1caDbooqA4G2ovu,Q114239981
i-7pp8o5KjbVfk6nNsz3e3FX,Q114240008
i-7YvT2u4JB6WncENwpYtRib,Q114240056
i-YafGb4bsvpr2aZk1D9TEom,Q114244604
i-MSbi6CmhoHjdUGidWdU69V,Q1145662
i-5EmUu19fYZ8QDe947bM8FX,Q114588905
i-VCs1f63wYRpPMEW9ixqpT6,Q114630146
i-SwXs79jqfzFQYGcMEuMGPF,Q114632949
i-4rA8nu7Qns2drm1ePJStLd,Q114659286
i-QXoirosNrtcGRkxgo4Weud,Q114729447
i-7KunTW1BDcxdvGiWn4n9H4,Q114772305
i-Gn5RLwRVePngC2Ti3ijbcs,Q114772318
i-Mb3ZXaPvnFquR9LCU1hMbR,Q114772325
i-HVneZdv1k4Q7h3LNapAvAG,Q114772424
i-DP63nXUT3WdGMsHBfkoKrr,Q114772436
i-JzKpzJSo2n2n5uYhKKmwLF,Q114772470
i-YC9eBMaj1LV84z79sjRe2B,Q114772526
i-WNB4cZwTSnvMM2W3cess4Y,Q114772539
i-TUH2Jjadmg5c4junXEJShp,Q114772553
i-7JczRrovTGvs7Lvt1ihPfi,Q114867560
i-JDd3G3miMyra3Ja6NFaSon,Q114965635
i-BLJsSYde4NkMtqfqGADxxj,Q114965717
i-Perad9eGoCowJz44FjB2ei,Q115110453
i-3JecSyBEVBAAoLDbynKGW6,Q115170015
i-5cQcZgMfPXLpKbuzTtzgn6,Q115190201
i-J9YYjptVDTE5xVop1UtSiN,Q115198538
i-NcNpR3AeCZsDBMKh5QmGDW,Q115527399
i-3d9YgDFrCS7Yfq6padK5e6,Q115564925
i-Nt4pNgA34uwRm35dkuus2r,Q115594483
i-WCbuc7xC49DdiKnEE1RiMN,Q115869391
i-XECKTTjQaHWrFpZmPEsrFS,Q115869997
i-DHGQWRCmusU1kvnhUeZ5zm,Q115870509
i-YULG4Eoup8dKyzuJx8X9fW,Q115933078
i-CLumAYb3xrgqPcWz3Gu397,Q115933592
i-8MGRjLM2Wz73p8sAJppawD,Q116014475
i-4M7g1N9tTKdbYmmszDc7j1,Q116025277
i-VvrKWHvS5YC9avJn4Jcoqj,Q116040430
i-GM2xU88Ad73erhWrLhU2u3,Q116057307
i-WEvWjktyzaNccceUjywVYE,Q116141921
i-69mwhd5mHwANDzJTPX7jwr,Q116149882
i-PbcqSMPJFhALBHMJt8fC5P,Q116196835
i-MPe2G8GUgjiRhR8NTtTmBy,Q116200364
i-PrsCQ5b3apVhb1mY1YWbbp,Q116218135
i-DuCgc7X8a4wHuXxQm37d7Z,Q116256367
i-NHEfCn32mEHrAw3JbShLAA,Q116482970
i-MEejaJkoWPqYNujMkvsktv,Q116672148
i-MJ3ZdAm2Qmn1W24wgX1Fe7,Q116687054
i-DSuwArqvpRXotBm7ggATZG,Q116687298
i-9UYqycUkhn1ehSciZgSn6m,Q116687501
i-3NbGNP9YEc8pT9LWALZDW6,Q116687586
i-T4AZxB62vyEftFtuUdrbyD,Q116690088
i-BE9rE88w7g6A9eUimJmA8D,Q116866668
i-QRMVvp7Mvt24ZFXQJva9iT,Q116880566
i-Y3VN6sK1YzvBbocP33n7oN,Q116883882
i-soGG7WvpfsE45txj7YR3j,Q116916
i-TakuMptA3j5ia3fgxc7a7j,Q116969964
i-AvpuCBNCdN7LHjCsU7ixe5,Q116996454
i-Nki2B38U2WzX6F4tb79yvm,Q117011372
i-GBSUdoSRv56vrATyT3J3Pv,Q117018060
i-ABaSrrbKvV3cZxEgs6yiWG,Q117039047
i-84CaU2aajmfrYKyB8RF9jC,Q117039161
i-3wgYCYs9BqQDCNxys6iyoE,Q117085828
i-8ai3xeYnq1YhhbULiQGqVW,Q117221066
i-JnsbkCPYDhEeErXQv27Yju,Q117221168
i-EtzAH131XhzsgKEF18yz69,Q117221314
i-4gJumJgEuP6Xz9pqA1wnWG,Q117221340
i-RL2hcNdhzHREop8X3xbMjU,Q117221443
i-1XsEfF3SYqxVzdDjxQSya,Q117221540
i-EpB6DAiA2qyU3edQAThA9u,Q117221725
i-GTm5yh52P6KKxDhjmNvB6Y,Q117222610
i-CGSD9z8yQ5S4qfXaaeczbU,Q117222626
i-MAp87ZRzNrh2KwMZswcvt2,Q117222675
i-2t9Vp7JX4pqR6fx9wurVt3,Q117222738
i-PuJEE7tZPiv71iNZo1UA8,Q117222781
i-EQM2NLR1fbN9izUQhjTRGR,Q117223085
i-ExSAYRqk2xRRexace2P8wV,Q117223193
i-TYpddiX12HJSyT4ZVp2VpB,Q117223318
i-D48LnWh2MhYRfi53JpMV8c,Q117223450
i-R6eNR9RuE1U1MpqLVsqC57,Q117223508
i-2p8ymXYjHPTSuKVZSU7E3o,Q117223614
i-MEKeqfhrUozYo69DS2iN59,Q117223685
i-2QMwPRu9aRvrGSP6ufskE5,Q117224084
i-G3foysEJ6LCRz9TzDch94P,Q117224201
i-3K1ZGtYnJEg1E9AoTGFkNj,Q117280381
i-YPfhsG9VXbac4uL5462aGt,Q117280842
i-7vWH6h3u1KyRdFh3Fq3Twv,Q117280895
i-66Wwkq4xTvkrUHpAcMgS5k,Q117280914
i-5TJn89iuS5tsvHYmTBPUAy,Q117286191
i-519ccWmGNkm1T7rYymoX6F,Q117286352
i-7cxbN2RoNZzLfH8PrW3LwN,Q117286391
i-Xtus94bWfPgNgA5bbAzUCK,Q117286580
i-XEtEg6LxsMQkypjsyUrdjn,Q117286801
i-YNnGatGGiCN5sfMx84itZi,Q117287698
i-U4anBoFerU2gKE6hcB3GXc,Q117288109
i-Rc1Ucbsh8zyMks8rJJHjX6,Q117288214
i-TyDbLDwsT2Ssr6vdh266Gr,Q117288584
i-JWP5dNNwLrpzc7u8cWLa39,Q117288641
i-YZy5UzHqZbM7Y8umtW5sjf,Q117288697
i-2V14kMbwoqRCDnaJBAPWxH,Q117288719
i-3y52vXfXcmS5WTo3fZpGkT,Q117288772
i-BG3ppKEV9tJVCs6dQEWdSL,Q117288940
i-Qk9ckHLNgsoYgsZhFeaze8,Q117288989
i-C35T2p8YzaajordcxyTv9z,Q117289037
i-7NY6bNiHjw7ozokGgFydkR,Q117289118
i-Y7Pg3p8Gp6PdXvyhJt96Pn,Q117289149
