"protocol_id","elem_id","segmentation","comments"
"prot-1914-a-ak--29","i-19RS1SNsps4kma43N7zyP","",""
"prot-1915--fk--75","i-1L7fMW2uYaAQQPbZSnmQq","",""
"prot-1915--fk--61","i-1NVZ3VpgKGTe3tf3zZ4Lg","",""
"prot-1915--fk--1","i-1Xux19ajWXpBv8dmGp2cC","",""
"prot-1915--ak--58","i-13aSnhp9PBAQeKXseBEb6","",""
"prot-1915--ak--74","i-167nYpqL6MM1kNf11pPax","",""
"prot-1915--ak--85","i-18c5NdHHunbTvdRbMRc1e","",""
"prot-1916--fk--56","i-13Qqf1FjCd2aBpMtFNzxL","",""
"prot-1916--fk--52","i-15VnHPTdFjfYWejM4SUA9","",""
"prot-1916--fk--81","i-19pUzJQsb4bV4PJuGVeak","",""
"prot-1916--ak--54","i-13RmQFd6ERYUPoCwU9jwP","",""
"prot-1916--ak--71","i-13fK3LuHvEw8ifKiAB6jS","",""
"prot-1916--ak--67","i-171FcPUThuhTZW7L36UZt","",""
"prot-1917--fk--46","i-1CDi8mVg6rc9FYvazC7r5","",""
"prot-1917--fk--60","i-1McdnPGHe4W1QEFZqtt7K","",""
"prot-1917--fk--39","i-1MySE2Rh1ftxUERyAJRvq","",""
"prot-1917--ak--35","i-12oBTyB8Grh5GUEZMZofM","",""
"prot-1917--ak--52","i-1331no2itw5bCUGCDvTzj","",""
"prot-1917--ak--41","i-1BGSaRLU1CrrjzFrHmFge","",""
"prot-1918--fk--48","i-11vtGjSVGzGGhtbXbAhUS","",""
"prot-1918--fk--2","i-181pppg6oahpC4mSntva6","",""
"prot-1918--fk--50","i-1CJUYcRASaPgMRAGnepL3","",""
"prot-1918--ak--31","i-16KzAvt6Giyg1oP2d8XDX","",""
"prot-1918--ak--18","i-173wQYaWLbuDGpmj2EQqu","",""
"prot-1918--ak--66","i-1Ap4F4eiiSUKH1VqT1Zxm","",""
"prot-1919--fk--16","i-14bBnmjnz5EUTreZw5KX4","",""
"prot-1919--fk--53","i-14s6CBv7qVph8HY2ucaRg","",""
"prot-1919--fk--22","i-18BmBNDpgxjDGocDa9u5S","",""
"prot-1919--ak--9","i-11fD83BaQiqpb7X6Qepog","",""
"prot-1919--ak--31","i-14JHsWegf7pnfZ6dy1uQ1","",""
"prot-1919--ak--46","i-14pMAE2zCLk7ia1rpw7ei","",""
"prot-1920--fk--11","i-11igi9f4TwwMk8WEQ4c8B","",""
"prot-1920--fk--9","i-13TKXWiDph7T39X5HcJNp","",""
"prot-1920--fk--21","i-16tAv2KG71VwR1d4umUiU","",""
"prot-1920--ak--30","i-11HsB3aX4b1QQkddEJhKT","",""
"prot-1920--ak--7","i-11UPVzM6zW76rprcxpncT","",""
"prot-1920--ak--8","i-112SPsVtui3JnK3Z5EyBNC","",""
"prot-1921--fk--11","i-112Rw4GuTobi2ydPwBhF5v","",""
"prot-1921--fk--42","i-13R7NgE47mmdSwEnwepcd","",""
"prot-1921--fk--44","i-16ddLuLzXTQiEFv2jNMwn","",""
"prot-1921--ak--17","i-11mTZEwJhRnUs9GEGA2HW","",""
"prot-1921--ak--57","i-16b9biE9f5VXD5Ec4Bn93","",""
"prot-1921--ak--15","i-16kpa4mgfSN8FayJCtb2g","",""
"prot-1922--fk--10","i-13UwVru3SkAq13dDhiAoA","",""
"prot-1922--fk--20","i-19uwdGt3r5eaWwinBf1WR","",""
"prot-1922--fk--1","i-1AJxBqFwtWLLMpr8T8cHn","",""
"prot-1922--ak--35","i-11KCnRHAv2NzEYmYqKReJ","",""
"prot-1922--ak--45","i-1127GizzVTmF4C7QHhom78","",""
"prot-1922--ak--36","i-15b8bs8bwhpWYHpefVSGJ","",""
"prot-1923--fk--28","i-11pucYe3T3V8R4w8uvZU2","",""
"prot-1923--fk--14","i-112AvsKQgK8JZjMZjrdFvS","",""
"prot-1923--fk--25","i-198ZcxaEi58W5aQxhTBi1","",""
"prot-1923--ak--37","i-138kSp8fQsGQ9u9DMQGid","",""
"prot-1923--ak--16","i-14Co1usLSNhUT3qDXnMJv","",""
"prot-1923--ak--38","i-19DXcsF3gFX2CPoNbTTeh","",""
"prot-1924--fk--36","i-18fmBP5xJAfUpNw9QusKf","",""
"prot-1924--fk--36","i-1D6VLHk6bQzZvNbriBrY4","",""
"prot-1924--fk--13","i-1EQGJDa3HsV7LL3hJQ8s1","",""
"prot-1924--ak--45","i-12wLJjZXNJAwewpTxp4S7","",""
"prot-1924--ak--42","i-13bVXijUK7Ffk4d5WjUtg","",""
"prot-1924--ak--43","i-15aEUfbJiMgpzffwDftBT","",""
"prot-1925--fk--16","i-112ZJUvw6bQQ5dMzL3jaTK","",""
"prot-1925--fk--19","i-1LuBTfGDhCvyFnanv5hRJ","",""
"prot-1925--fk--7","i-1U9xYqhjnseihfoYLrueK","",""
"prot-1925--ak--41","i-112LXEgEsror1naQarzqR4","",""
"prot-1925--ak--42","i-1CV1iC2X9J93cojSRFwwt","",""
"prot-1925--ak--37","i-1DTgixu1uQJtZmTd7mrCZ","",""
"prot-1926--fk--9","i-118hwi34mz4GPhFDs9XFp","",""
"prot-1926--fk--3","i-17Tn9jAj5nFLbBAcCzT81","",""
"prot-1926--fk--35","i-19eMHxXwwvuBsfmTAY8wJ","",""
"prot-1926--ak--42","i-14MBLrrdniV6DiQyf8K5Y","",""
"prot-1926--ak--24","i-17s4ZQYB51aJYXEyxC89n","",""
"prot-1926--ak--28","i-18RGGFNK9af315HaqZ5GP","",""
"prot-1927--fk--15","i-11246JswyCD5Muc18ySf43","",""
"prot-1927--fk--38","i-112UgURAzPBD33PaNxUE3U","",""
"prot-1927--fk--3","i-15FSrUoMufVb3QJT9cD57","",""
"prot-1927--ak--33","i-112Myxr2TEoc7h22go4ci6","",""
"prot-1927--ak--15","i-14JTnSTH2JdVfDsJoYqCe","",""
"prot-1927--ak--29","i-15rH13vNfhsgX1phy8LUB","",""
"prot-1928--fk--19","i-1C1k7Btkmq2coz979pvZD","",""
"prot-1928--fk--32","i-1GW4bRb8vTcyLCh4tzusL","",""
"prot-1928--fk--37","i-1Jx3SWrZRuS2pqi25pGEG","",""
"prot-1928--ak--34","i-152Tp6ZubHrikotqYe1qC","",""
"prot-1928--ak--19","i-19LhazncCpcyX6wRVJ1H6","",""
"prot-1928--ak--33","i-1Ao8bKMHvrFfQyfx5ct4b","",""
"prot-1929--fk--29","i-165ohrVikEfHt4iEw1Frg","",""
"prot-1929--fk--13","i-19i28cwXeuBAXUuaFSoAz","",""
"prot-1929--fk--30","i-1KTmRseBSyckFvzpJU45N","",""
"prot-1929--ak--35","i-13nr3APkUo3sT3f36w8Wp","",""
"prot-1929--ak--36","i-16tQktSdBb7V9y8CUQnUj","",""
"prot-1929--ak--5","i-1BrfBfjorDJjoVfLF8TFZ","",""
"prot-1930--fk--19","i-14giR4yS61tG4hrod6G3P","",""
"prot-1930--fk--33","i-17MwPwTpR7p15Aq5VeFm9","",""
"prot-1930--fk--19","i-19h8HWgSaaA9u3VhVgYAe","",""
"prot-1930--ak--39","i-12fW5BWh61auVngQgTpp1","",""
"prot-1930--ak--29","i-146L9MdfgEts2mxbKHtjt","",""
"prot-1930--ak--18","i-16dJUpMc3QAxBPXf42e3L","",""
"prot-1931--fk--34","i-1127TwWwue8R8KUr61ZDc8","",""
"prot-1931--fk--18","i-134wyEdfJ3AqL9d5h9sjd","",""
"prot-1931--fk--37","i-16MQgs82Ryb9GcmGHJMVu","",""
"prot-1931--ak--28","i-1A3PdAZMEPcevMamRZWYB","",""
"prot-1931--ak--29","i-1D4vet1mRYhaB3yS5ZV8v","",""
"prot-1931--ak--15","i-1GacDNwkr89RZcbx2cv4h","",""
"prot-1932--fk--4","i-14C6z6eXCeGEfb5HrEkSG","",""
"prot-1932--fk--3","i-14moV9GrxpZp5VSDqWuAE","",""
"prot-1932--fk--36","i-18GZW8gogqndwo1MaDtjL","",""
"prot-1932--ak--20","i-11QQMx9GiKveDZcgk5mZA","",""
"prot-1932--ak--37","i-1CFVmck6qcs2Qu1kFGB8o","",""
"prot-1932--ak--53","i-1GP1jhn4HtP16p76jNbk4","",""
"prot-1933--fk--45","i-136KTaRGVqpTyBeSQsv8Q","",""
"prot-1933--fk--25","i-1KZYNH12KrjiK6bqYtCHU","",""
"prot-1933--fk--32","i-1LMGLxbWjYeEc95RhEfyj","",""
"prot-1933--ak--22","i-13aVkKLuD6hhzaY1mh1yK","",""
"prot-1933--ak--22","i-14m5SMAm8Jv9NqN9yA3Vb","",""
"prot-1933--ak--23","i-14peNyoA6u4e1FUCqpTcf","",""
"prot-1934--fk--17","i-14Dxmaigy11w75TCRen4F","",""
"prot-1934--fk--24","i-14odGR1e6HnoERGGqZMAn","",""
"prot-1934--fk--5","i-16MDKJWcGQMiiMHKHvVA8","",""
"prot-1934--ak--42","i-112aGkcKsfhVtisz4LdMfd","",""
"prot-1934--ak--26","i-12vZH4NZYwe7ZVgVHcLhg","",""
"prot-1934--ak--44","i-16BPzxjx6jcHUdDqg6GN1","",""
"prot-1935--fk--28","i-1MdcwqwGHrkzDVgvnSzMk","",""
"prot-1935--fk--35","i-1PgmvDdg41JTK53v6Wy4e","",""
"prot-1935--fk--23","i-1RrX3w4UtCD3hXjfShjnw","",""
"prot-1935--ak--12","i-11hBYEiFkow5Z4EYBUXQe","",""
"prot-1935--ak--28","i-11kcYnT9LLPVy1uFj9FaP","",""
"prot-1935--ak--20","i-112Rc14ih1axtcf8MsJrgf","",""
"prot-1936--fk--46","i-112DT1fri8YbwqbJrsS4rG","",""
"prot-1936--fk--4","i-16ZcEvnkPpAJk5RwW1Qyd","",""
"prot-1936--fk--37","i-18AdhcHjozUWVNfEVFkL8","",""
"prot-1936--ak--21","i-19fT2AYki9Hg7iYriEnqc","",""
"prot-1936--ak--11","i-19m9shBYUJtDCMz1cATfL","",""
"prot-1936--ak--23","i-1DZ8zFEFQGbjFKBQEvg6U","",""
"prot-1937--fk--38","i-1144jGyXf9UUeCQpVo1Fa","",""
"prot-1937--fk--35","i-12s5mT7JecFDLZLJmW144","",""
"prot-1937--fk--20","i-1EpjUoiNW8y47RsdmJvZF","",""
"prot-1937--ak--27","i-12hr4DMdsWkLpSiNLU1a4","",""
"prot-1937--ak--10","i-15vSk98AdT6wSBpgGAHNW","",""
"prot-1937--ak--29","i-18b2h2EtCtAQjhFEagxbN","",""
"prot-1938--fk--37","i-19bhDwF1bb9L3gLuhXQKW","",""
"prot-1938--fk--31","i-19xqGfc22xFXW6mQL19qo","",""
"prot-1938--fk--38","i-1E1E3aTALeffQ5oZVwzkS","",""
"prot-1938--ak--22","i-14T7WcQZydAfrgsgEze6K","",""
"prot-1938--ak--6","i-16BtsjknjVGbB6gnUY9hj","",""
"prot-1938--ak--38","i-16xjYUUsC9Fnbvb2ZzP6z","",""
"prot-1939--fk--29","i-14kCD3qQrX5zCfRog5aVR","",""
"prot-1939--fk--36","i-17rQgv2US2YVLAuRVEZxq","",""
"prot-1939-urtima-fk--28","i-1AG3hNjAfmiE3cQWUgpUk","",""
"prot-1939--ak--36","i-163WpRfguEE1V8wcqdeSj","",""
"prot-1939--ak--18","i-1BvfvRvKSL27QfeWppaNg","",""
"prot-1939-urtima-ak--7","i-1G49ktPvKiW3ZggRJo3ur","",""
"prot-1940--fk--31","i-11uc8pcVEPmf1STChL4E6","",""
"prot-1940-urtima-fk--2","i-13Z5CNQGAovE9taNbQVRm","",""
"prot-1940--fk--35","i-18FnJCJ2w2EdAaQRP6KVm","",""
"prot-1940--ak--31","i-15Ao3T6nHboVujWmh2hvT","",""
"prot-1940--ak--41","i-199ixhAtb7tsDDHZjFysc","",""
"prot-1940-urtima-ak--9","i-1AG7rVuV5XXv1aZcPx5wS","",""
"prot-1941-höst-fk--48","i-14ybGx8x16rvMANANEaho","",""
"prot-1941--fk--19","i-17UrQ3RSG7coVx1fkAbUo","",""
"prot-1941--fk--17","i-1CLUqhYbbADPyBhsALEcv","",""
"prot-1941--ak--35","i-13RXbmXxCrcTGAoRCuFaH","",""
"prot-1941--ak--22","i-13yusNeAjsw2X61bPJ9Kd","",""
"prot-1941--ak--9","i-14wo8QgmoUyTdVLcU98BQ","",""
"prot-1942--fk--17","i-112ZfGkCHg8WtkPzqaUQty","",""
"prot-1942--fk--7","i-17HfctQ1dBkqhyVGcjABZ","",""
"prot-1942--fk--11","i-17YAQR5JKnHbRdxqdUbka","",""
"prot-1942--ak--14","i-15vreiXDjh39FwJkkMfGY","",""
"prot-1942--ak--24","i-19uTrzd87uJyHhPDhCARx","",""
"prot-1942--ak--17","i-1DRoeuhjaYhBv4mdHikjy","",""
"prot-1943--fk--16","i-14j9XbkCp29ujgrSLtR2a","",""
"prot-1943--fk--26","i-1675ruyBP47BQMKNUBRZM","",""
"prot-1943--fk--26","i-16igxuBS9b3yKk9rywjih","",""
"prot-1943--ak--10","i-1AM7JGp4NJx4ghYZj27zS","",""
"prot-1943--ak--9","i-1BXfQSsSmxsSc2auHCXHz","",""
"prot-1943-höst-ak--31","i-1HCRhrbZJX6YaAieEMV1W","",""
"prot-1944--fk--12","i-12sCpLvtDnzCEvgnZrRV9","",""
"prot-1944--fk--10","i-12ucsx2u3c5GRQ2xK3jNH","",""
"prot-1944--fk--20","i-16hCZFojuVjncYUHmg4eV","",""
"prot-1944--ak--27","i-14WxNM64ixCmc44scnDAb","",""
"prot-1944-höst-ak--32","i-1CQSDtGYD89Yryu8gqcL9","",""
"prot-1944--ak--10","i-1CyKWUpRvkxXJasxFf3ug","",""
"prot-1945--fk--5","i-12onNDensvDB6dJYPcWET","",""
"prot-1945--fk--18","i-14xTjSAiAPaphb518Bhyb","",""
"prot-1945--fk--21","i-178kcwP95qucvGBij7nQ7","",""
"prot-1945-höst-ak--39","i-1165fbhgjbR2Ljzso79Jy","",""
"prot-1945--ak--30","i-16PWDtxMdzemkkjHb2pLY","",""
"prot-1945--ak--28","i-1A6xp32KUvfMcLdxtkSKb","",""
"prot-1946--fk--27","i-15NxZj8crZ1izzxRvUGzn","",""
"prot-1946-höst-fk--38","i-1CKwSoXWieJF5r1m2nLEb","",""
"prot-1946--fk--2","i-1G71KEpMjgyMTs3LQ7xX7","",""
"prot-1946--ak--14","i-15mhqXMjRcXhQBRiQFBMq","",""
"prot-1946--ak--3","i-166ochTMfzo6vZzDcMhWB","",""
"prot-1946-höst-ak--42","i-1D2mT5HnWJExGN6UdYpVC","",""
"prot-1947--fk--7","i-11V4ZTjWdsEPXEAsNifAS","",""
"prot-1947--fk--4","i-16aWQtGn6drCLYCNnEFBe","",""
"prot-1947--fk--26","i-19g9iALNrPFsHPwu8A1Rc","",""
"prot-1947--ak--8","i-151g58DgjH5xLfr2R4Yn8","",""
"prot-1947--ak--6","i-1BYetAD12sU3ewas7iQYy","",""
"prot-1947--ak--14","i-1DizxyL7WqhU2BnNK9AtS","",""
"prot-1948--fk--15","i-11JUpYpWdKEZYXSxz1D9V","",""
"prot-1948--fk--28","i-112HvMCgHy394ctA5fN3ge","",""
"prot-1948--fk--10","i-112ayrRr2q8jj3hXadQH6o","",""
"prot-1948--ak--15","i-11Z3M2MqcjmZTsyi8UZpk","",""
"prot-1948-höst-ak--34","i-11rYhSoGZpxYsSxAWtuN2","",""
"prot-1948--ak--19","i-112LCoPHsFV6H34hL92vMz","",""
"prot-1949-höst-fk--26","i-1B4rbb5JMY5aaeoKvPVnA","",""
"prot-1949--fk--21","i-1B8ryntLB5t2pVx81WVUM","",""
"prot-1949-höst-fk--25","i-1EbjRLfJQ9riAZVVgN3SL","",""
"prot-1949--ak--4","i-12jjXPvKcwhq6h3u7rh19","",""
"prot-1949--ak--13","i-1ACz9p2g3RzWQrMm1y2Zh","",""
"prot-1949--ak--16","i-1HNRJjjx4u2APx2HKHgWw","",""
"prot-1950--fk--13","i-12scREWLS1bXWKvCd81L7","",""
"prot-1950--fk--4","i-19r82moe72RqRUMevvzAy","",""
"prot-1950-höst-fk--29","i-1FrLCqHjzqBu31bH5Cg1T","",""
"prot-1950-höst-ak--32","i-13mLfGbJroVBCAEv1vGRH","",""
"prot-1950--ak--23","i-15BfqsXa8jrvJtSQjiJsY","",""
"prot-1950--ak--13","i-17uE49gKSxuT1VvAPABHm","",""
"prot-1951--fk--9","i-13vExTM2ZqPoEUmiNPdRR","",""
"prot-1951--fk--8","i-14r9CWEZVgbmRs1CNNAme","",""
"prot-1951--fk--23","i-18EW8ACP7FjtJT8AihKaj","",""
"prot-1951--ak--4","i-13wrZ2CzZF2WK6virgvLN","",""
"prot-1951--ak--10","i-15vRQMUQ65okyTUbaAmru","",""
"prot-1951-extrahöst-ak--29","i-16BBpQ41d1Paof1gGc7Uj","",""
"prot-1952-höst-fk--31","i-13z9Tbfi5e1Vx6cMJdNZx","",""
"prot-1952--fk--14","i-16Y6eXQW8reUfR1XR5Pky","",""
"prot-1952--fk--15","i-16uj7X7ArGrNStNT4Ymhd","",""
"prot-1952--ak--19","i-14BNDEm32NMQXS444uQhz","",""
"prot-1952-höst-ak--26","i-19HPWiAWm4FZDUaVsLJC6","",""
"prot-1952--ak--8","i-1AjxsJun7mRHvFBYnF8uh","",""
"prot-1953-höst-fk--30","i-14aXqofqdkTydy13HfBUG","",""
"prot-1953--fk--6","i-14rg7mcjf8sJThfjEXsVd","",""
"prot-1953--fk--23","i-16P5TSSu4SxfcFiKbVJ3E","",""
"prot-1953--ak--20","i-11JehjdsVyG1fkasrC4XU","",""
"prot-1953--ak--12","i-162Vn39AiGtTwuxr3Mvxz","",""
"prot-1953--ak--22","i-16XHdTxNykEBQ7PdQ9jzq","",""
"prot-1954-höst-fk--31","i-13MrbmsjXRyP2TE89bGB9","",""
"prot-1954--fk--13","i-15G7tYq4Rg73RZUiz8peG","",""
"prot-1954--fk--3","i-19BQDbQapxM92P18DpDd4","",""
"prot-1954--ak--6","i-11LbVSvMzncne4Lc64qbB","",""
"prot-1954--ak--16","i-15YvP2VPpeZhFXzaHZFDe","",""
"prot-1954--ak--22","i-15jAeXE7jTW4fgpFccsQA","",""
"prot-1955--fk--8","i-1B7Sb9gJPG79M3tVGE1XN","",""
"prot-1955--fk--20","i-1ExJPVkNB2ccGdu7c29h7","",""
"prot-1955--fk--16","i-1Ggnz2qEM5YqQFvjefiD1","",""
"prot-1955--ak--18","i-13towAhUR6b9JFGN4KGqF","",""
"prot-1955--ak--20","i-179NgAeNtZvtHpaeVEhZ4","",""
"prot-1955--ak--8","i-1ANHpyw62BNUEzinuFVid","",""
"prot-1956--fk--24","i-16cycp1HHhwdSatr2Bkkr","",""
"prot-1956--fk--14","i-1B29vrwXYjeFn74RnK55z","",""
"prot-1956-höst-fk--27","i-1Drd39tBkJwWFzLSUe5oV","",""
"prot-1956-höst-ak--27","i-11LKkuz64nhELwBqxRtfn","",""
"prot-1956--ak--10","i-13m9xCib4bgsDSD1Nx5As","",""
"prot-1956--ak--20","i-13uRu79HqwEnMWP4F9kot","",""
"prot-1957--fk--6","i-14fTEgSq9RQuxjKqicpgg","",""
"prot-1957--fk--2","i-14sxKFcAVsXeV3PHMh9pD","",""
"prot-1957--fk--11","i-14tqrh88Q75DgVpmvz1rg","",""
"prot-1957--ak--18","i-13MHcUFGY8ejdQiwYp3BT","",""
"prot-1957--ak--11","i-15Ku16Bs18svhNU15tR2d","",""
"prot-1957--ak--22","i-16WYuNp1aBYmU24MEqaAo","",""
"prot-1958-a-fk--18","i-11jF2TWqLQeucfzvdpYkr","",""
"prot-1958-b-fk--3","i-15KAwEvUM829BZYvbeL2L","",""
"prot-1958-a-fk--8","i-1983NMnq2Sx1r3rdgxBEz","",""
"prot-1958-a-ak--7","i-11yEFpDaLdBsHjMjwVHQR","",""
"prot-1958-b-ak--1","i-112V9HkvxxQMT1x5tmfSpE","",""
"prot-1958-a-ak--6","i-112ZPBzbDp7AypcbP59xXB","",""
"prot-1959--fk--19","i-112KmS6qfmjyE4csKzpL5D","",""
"prot-1959--fk--2","i-112Vg9jZVzvkDRhT3Gictn","",""
"prot-1959--fk--21","i-136DQQgrZwvku1XEpwUW9","",""
"prot-1959--ak--16","i-11u1dpKN86quS3Y7qG77E","",""
"prot-1959--ak--19","i-13F6Q4CmijMmYXK5zepW5","",""
"prot-1959--ak--7","i-15cAmnCx21cPD7izqZPoV","",""
"prot-1960--fk--20","i-11Yff16szKmyELvdxe61c","",""
"prot-1960--fk--12","i-16iiX412EtmXKEotrWyN5","",""
"prot-1960-höst-fk--29","i-19M3iBaGz5S7Uc4kVyRb9","",""
"prot-1960--ak--2","i-112bQoc6kZSbdhFTiCJGdh","",""
"prot-1960-höst-ak--28","i-12zFHcy3MC2x7hoqNn9mT","",""
"prot-1960--ak--16","i-157DshXZcnHvZwqvS8RFw","",""
"prot-1961--fk--21","i-11Bi2pMj2H1m1Lfwpiqqi","",""
"prot-1961--fk--14","i-11bZdFrds68WFpqKndq9P","",""
"prot-1961--fk--7","i-13E4FXX687PdBtQmb39GQ","",""
"prot-1961--ak--4","i-11LqJu34W6JrvcHRnQrpv","",""
"prot-1961--ak--3","i-13eg9724ZPsLvXNvPnuEa","",""
"prot-1961-höst-ak--27","i-15U8WQ1mx8rbNen72xYpm","",""
"prot-1962--fk--23","i-17WZeBV3E7EktUpDdFVXp","",""
"prot-1962--fk--10","i-18PXWDZJEavPjD5x7u3u5","",""
"prot-1962--fk--21","i-1DBQt3n36MrkGq5HJABgp","",""
"prot-1962--ak--24","i-11mR4nkhMQyLMxzjCLbjC","",""
"prot-1962--ak--6","i-1122FcPvnsC2yNDPrMdSm9","",""
"prot-1962--ak--8","i-112SmtZEQrJcHZMPgQx7dv","",""
"prot-1963--fk--2","i-1A8KEYwfN2ApYHinGMkWw","",""
"prot-1963--fk--25","i-1Cg9b1q8esHJGbyLgbctC","",""
"prot-1963--fk--26","i-1GjaHTZF2S36MapmpxDcZ","",""
"prot-1963--ak--10","i-12gwrMKxvoReEJ8PRyAME","",""
"prot-1963-höst-ak--34","i-15feyZ7FUT5Fpg3PtMUra","",""
"prot-1963--ak--4","i-18Lzrt41LzN7PbaAGxuW4","",""
"prot-1964--fk--21","i-12oXcRVqNtJhpZTwhAk72","",""
"prot-1964--fk--28","i-17hofwRwCnw3noXk7VE9V","",""
"prot-1964-höst-fk--41","i-1BvaUZCKf12insZod527s","",""
"prot-1964--ak--21","i-112WZjUyJ9nRpXGujqHU1J","",""
"prot-1964--ak--8","i-138BTo7pwQJs9EwGr1Kcy","",""
"prot-1964--ak--5","i-14iMVu17va3uzLQnHzpgi","",""
"prot-1965--fk--16","i-13EVKojwNkHF9yi7Zq6Uz","",""
"prot-1965--fk--17","i-14kjJKPJn7XZCNaFG4nsU","",""
"prot-1965-höst-fk--34","i-17TvMCntCx2ovt6pmygPD","",""
"prot-1965--ak--21","i-112aq1PjEVPvo8T9XrqYeo","",""
"prot-1965--ak--17","i-14iGyQgigCZsUr7pFPMtE","",""
"prot-1965--ak--5","i-15HKMUzf4eWkoEkJN8ti9","",""
"prot-1966--fk--8","i-12z8U4mXrmjMKnETBysYY","",""
"prot-1966-höst-fk--34","i-133mF1bVhbke1mPk9z43U","",""
"prot-1966-höst-fk--37","i-14ViXYfxAYVs5LzyHLuyo","",""
"prot-1966-höst-ak--39","i-11Vw8jRpWnMRtouYjNyUK","",""
"prot-1966--ak--3","i-11nEZXjLQrNz1HbxJzEd2","",""
"prot-1966--ak--10","i-135K1e4Kma4wR4QfYM1gA","",""
"prot-1967--fk--35","i-11D2W7Vy4cb4shj2jwJCT","",""
"prot-1967-höst-fk--40","i-112C3seEKsRVJ79cq7Y375","",""
"prot-1967--fk--2","i-13h5UPzjPHSkS89zncBFs","",""
"prot-1967-höst-ak--41","i-119jG613AQYcuMDT57PYX","",""
"prot-1967--ak--12","i-164vHVSLH7JMiF25cBxJ5","",""
"prot-1967--ak--11","i-16hWT1ukUZQQ3gm8E59XV","",""
"prot-1968-höst-fk--41","i-11M56KRH7JjtFKA7fCPLx","",""
"prot-1968--fk--4","i-13cLcs7qRhdD8yjZBvfUo","",""
"prot-1968--fk--25","i-157UC9E2pxVqVq5Atfrbn","",""
"prot-1968-höst-ak--41","i-11jCPNh6zF2m5tVodrhQB","",""
"prot-1968--ak--23","i-11pTHFqSutWfA11g6vihA","",""
"prot-1968--ak--11","i-13krqC6DBkSPXwBXGjX79","",""
"prot-1969--fk--19","i-11aABmgrPd2M515z9CsPD","",""
"prot-1969--fk--28","i-12zgdCXqYSuQVMPY4fsTP","",""
"prot-1969-höst-fk--35","i-16hoopdeYVXodnxDbDo5A","",""
"prot-1969--ak--16","i-11Wx9LEhDquxGx6De9gzS","",""
"prot-1969-höst-ak--37","i-13Bi23YtQcMVnuDDmM5wM","",""
"prot-1969--ak--21","i-13HuuZeNX5jxKC29sNwyX","",""
"prot-1970--fk--27","i-14EPWDxkkrW2uz8Fa7Vcm","",""
"prot-1970--fk--4","i-14TKEvr2mm4g9KQdr3hVg","",""
"prot-1970--fk--14","i-15JbM2HRLaXFUNr2TjqeX","",""
"prot-1970--ak--31","i-157XC7PF83xNzLbpdEdhy","",""
"prot-1970-höst-ak--41","i-16hjrzjEW3N8fhBZ26HsD","",""
"prot-1970-höst-ak--35","i-18LCVvLEinazx2GsjL8Bf","",""
"prot-1971--94","i-11T8ky1uHeMoVruApcYxs","",""
"prot-1971--49","i-112Y1AkamYc4Bo3gAkpqki","",""
"prot-1971--129","i-138r9mUetY5rcFQNX5ZNR","",""
"prot-1972--9","i-11aPGtQKsKudC89k45cf3","",""
"prot-1972--73","i-11iNDUzVRfZE2GpgjdvRQ","",""
